                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      17388      77097      26375       8900       8470       7244      10906       7709      10824      23129       7723       6653       6797       5496      23079       5502      19409       6656      21472       6520      12278       5597       7056       5843      13572       7672      16115       6046       6532      13006       6017      14349
      NET_TX:         50          9         13        689         12          9         12         13         12         12         10         23         18         15         20         20         21          6         17         28         22         16         13         14         20         16         15         13         26          9         17         11
      NET_RX:    5698074    1737668    5641777    5422110    5664015    5451172    5738064    5469538    5494360    5251131    5694275    5378256    5669488    5224101    5606116    4572687    4579018    5335522    5739894    5075266    5690726    5217832    5735776    5541759    5483628    5388828    5527315    5038166    5466726    4580481    5342132    4718733
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    2333309       9912    2280469    2258095    2330340    2279529    2322035    2354450    2212654    2261239    2280594    2309934    2296422    2248297    2238512    1957070    1818434    2285403    2315506    2157310    2239497    2222713    2261427    2340356    2185206    2323774    2217870    2156394    2233848    1915098    2144770    2036946
       SCHED:      57830     105562      48684      28776      32807      25716      31943      24991      31143      40695      28277      23147      28289      21356      42914      22816      40089      23682      41734      22096      32749      21884      28366      22681      34192      25654      36929      22627      27219      29408      26011      33131
     HRTIMER:      43488         32      43743      60687      51678      47096      46898      45346      42717      40551      42463      39180      47992      40085      41141      28168      24061      39762      45159      30627      53104      39937      64057      60624      45554      49785      39050      36941      33227      19490      30346      25494
         RCU:      10475      12279      10392      10197      14224       9825      12544       9577      11996       9035      11322       8669      11558       6742      11367      10383      11343       8520      10780       7773      10339       7742      11315       7912      11788      12077      11032       8527      11322       8353      10681      10034
