                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      12660      74663      23235       6033       5345       4410       7672       4818       7876      20347       4711       3818       3778       2775      20006       3042      16862       3879      18360       3938       9310       2873       4039       3096      10652       4649      13204       3305       3653      10650       3189      11879
      NET_TX:         29          9          6        684          6          3          8         10         11         10          9         18         10          5          9          8          8          5         10          7         16          7         10          7         14          8         13          8         13          7         10          8
      NET_RX:        567        363        445       1621        740         76        296       4015        389        303       3597        561        150        200        173        924        775       1633        339        209       1073        840        719        633       1240        382        503        434       1858        383        858        472
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:      28459       9089        420       5596      17374       7688       8271       8873       9074      18232       3340        631        103        181        170        917        710       1193        223        134        762        352        151        517        841        213        287        288       1186        202        681      20164
       SCHED:      20997      80382      26406       9309      12374       7377      11965       7593      11298      23167       8798       5811       8637       4179      23331       6308      21570       6613      22426       5385      13379       4765       8470       4928      14983       8181      17629       5831       7873      13198       7178      16737
     HRTIMER:          0          1          0          0          0          0          0          0          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:       4764       6912       4830       5084       8475       4598       6913       4486       6346       3933       5175       3326       5994       1751       5647       5328       5750       3368       5125       2567       4779       2673       5698       2690       6168       7011       5496       3437       5392       3367       5160       4918
