                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      22467      12901      19669      12470      17547      12742      15503      10273      13617      10238      11437       8894      12113       8832      11525      10661      12001       7581      12677       7559      13798       9823      11223       8969       9699      18652      10480      10111       8285      10408      12407       9254
      NET_TX:         11          3         10          6         10         10          7         15          6         11         11         13         10         17         13         86         14          8          7         20         17         13          8         10         13         49         15         16         13          5         17         15
      NET_RX:    3110926     754275    2745261    2631739    2655803    3092176    2553548    2684040    2284478    2906778    2579329    2645349    2911954    2648031    2848637    2696980    3056185    2499750    2979998    2375853    2910784    2951692    2808796    2589855    2579506    2455657    2586140    3043258    2515625    2616399    2964984    2694608
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    1421099       7121    1240865    1230296    1224563    1426517    1150088    1273117    1028508    1375521    1150387    1262655    1288300    1254239    1264794    1279309    1343529    1193687    1346433    1103563    1271113    1383159    1243495    1224161    1140383    1175295    1152615    1429330    1159985    1199061    1307527    1290112
       SCHED:      54432      43029      36935      27520      33971      28305      34608      24275      31682      24123      28356      21070      27840      20977      29044      24026      28470      20772      28536      21564      30756      22035      28696      22368      25522      31882      27889      21375      26108      22982      30357      21718
     HRTIMER:       7778         20       9111       7390       5977       8062       7801       6468       2796       7483       4385       6147       7432       6006       7047       5822       7765       5697       6855       6057       7788       7227       7254       8488       6773       5996       4416       7667       3320       6170       8114       6053
         RCU:      17204      16340      20832      15367      18564      17491      20801      14663      18007      14881      18236      13514      17695      13060      21909      17863      17036      12905      21069      16630      19597      14567      18683      15036      16181      14649      17998      13319      16244      13306      17529      13970
