                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:       2725       3781       4790       1549       4381       1269       5811       1653       5321       1313       2785       1127       1936        725       2110       2943       1915        968       2998       1261       3379       1114       2619       2140       2244      11634       1840        713        860       3398       2810       1403
      NET_TX:          9          1          8          5         10          8          7         14          5         11         10         11         10         16          9         86         13          6          6         20         14         12          8         10         11         36         15         15         11          4         17         14
      NET_RX:       1477        190        373        628        664        203       1600       3481        469       1417        191        610       1072       3354        421        594        376       1298       3588       1681       3573        927        858       1053        686       1232        855        825        807        384       2492       2966
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:       7519       4361        207      12872       7898      11539      19352       9785      10896       9834        176        561        979       2784        292        569        372        935       2850       5991       2837        416        157        796        442        989        264        551        143        255       2055       2135
       SCHED:      15774      10469      10179       4874       9739       6527      12649       5198      10175       4834       7999       3481       6487       3012       7994       6533       7087       3718       7948       4662       9296       3756       8198       5494       5213      15102       7756       2613       6664       5939       9205       4236
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1          0
         RCU:       5376       5577       9048       4288       6984       6583       9043       4190       6467       4100       7064       3615       5933       2467      10427       8053       5908       3096       9844       6829       7956       3715       7088       5195       5375       4916       6900       2843       5817       3475       6073       3544
