                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      12329       9542      14297      10111      12136      11255      12366      10707      14008      10779      10653      10121      13384      11889      13579       9724      11143       9462      10164       9646      10739       9006      10029      10254       9985       8513      10219       9160      11123       9884      22480       8912
      NET_TX:         13          2         11         40         10          8         11         11         13        117         15         10         11          8         10          6         14         19          9         12         11         10         14         12         14         10         15         22         13          8          7          7
      NET_RX:     882089     598170     842299     808486     866691     855052     864832     869618     865912     789766     799640     848326     739441     861821     808198     846911     865999     833976     861519     825312     866893     842817     808394     798942     806669     843032     853769     841069     878461     814654     793243     795116
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     346931       6557     323995     323226     361614     354355     353599     364713     353413     319952     308874     345439     261266     344274     300246     342053     344460     339642     339156     330642     344597     330925     302496     320315     296927     337637     330437     334410     346058     324583     286150     327270
       SCHED:      32865      40258      21058      14678      20360      15955      19909      14195      19527      15803      18509      13114      21451      16023      22284      12448      16097      13791      17840      12507      17638      14767      17966      13897      18237      12014      16158      14671      17526      14664      31415      11612
     HRTIMER:       7327         24       6469       8604       7893      11432       9522      10043      11178       5468       7104       9687       4680       8674       6172       8398      10839       7858       9275       8352       9897       6323       5395       5794       5956       5849       7735       8762      10830       6681       4591       7266
         RCU:      20112      28715      23646      18541      22941      18981      22613      18044      21829      18292      23128      18777      26941      20796      24352      18007      20019      18093      21667      17085      21008      18175      20851      17003      20639      16625      20195      18741      21065      19313      23158      16077
