                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:       4724       3707       5686       1884       4254       2188       3072       1485       4361       3531       2590        972       5354       4100       6299       1588       2110       1219       1968       1383       1500       2012       2699       2543       3259        827       2032       1638       1934       2050      15586        870
      NET_TX:         12          1         10         27          6          7         11          7         13        116         14          7         10          8          5          6         14         19          9         11         11         10         12         11         13          9         15         18         12          7          3          6
      NET_RX:       1930         97        439        299       1752        966       2139       1019        901        718        803       2836        893       3005        391       1095        772       1977       1694       1742       2266       3243       1946       1014       3603       2784       2399       1377        657       1982       4128        822
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:       8543       6193        328       3223      21532       7026      10946       9530      13769       9625        668       1922        815       2968        318       1025        706       1240       1132       5012       2005       2559       1691        695       2212       1770       1720       2267        429       1199       2225        548
       SCHED:      21078      11452      11661       6339      11461       7487      11088       5838      10538       7735       9924       4794      12510       7802      13902       4424       7546       5492       9349       4718       8840       6385       9161       6052       9449       3787       7632       6621       8853       6746      22155       3444
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:       7236       7648      10757       5840       9787       6052       9577       5254       8975       5525      10198       5974      14280       7820      11604       5349       7058       5032       8756       4530       8198       5701       7858       4540       7783       3985       7175       6082       8106       6616      10412       3271
