                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      12571      10965      14319       9660       9526       8378      10076       9439       9851       9031       9946       7385       9605       7551       9581       8050       9668       8551       9409       7553      10573      15506       8444       7053       8912       8667       9365       7999      11088       7603       9065       7448
      NET_TX:        167         52        125        136        138        128        144        132        149        164        111         87        184        165        147        129        109         96        154        116        131        145        159        134        118        119        113        127        155        155        110        123
      NET_RX:   12108931    4896832   12543294   11951748   11169841   10721415   12454825   11528810   12160757   10161320   12643604   11238497   12263436   11323793   12589305   12758411   11880162   12232815   11744964   11483260   12595024   11294857   11171622   11989382   11265797   12576117   12728694   11590339   12723040   12136868   12677917   12205765
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    4421926       9831    4600717    4471092    3959432    4010582    4645904    4330668    4471541    3594612    4738929    4229211    4660720    4255637    4622519    5015217    4244833    4700231    4266855    4331014    4792012    4224758    3859640    4772405    3917614    4865901    4847657    4359518    4814233    4734842    4819438    4747254
       SCHED:      91438      71773      61310      55061      57060      51352      56408      50234      56805      50017      55194      49088      54093      48270      55203      46031      55393      47518      56328      46998      56234      54040      54104      47154      54143      48570      54374      48426      55921      47341      53543      46131
     HRTIMER:       1949          1       1608       1902       2603       2463       1549       2266       1981       3276       1279       2248       1052       2357       1810       1116       1986       1748       2131       2125       1154       2214       2388        536       2397       1552        948       2011       1366       1183       1020       1504
         RCU:      32948      32362      31111      29844      31483      27466      35045      30098      33175      28773      32999      28253      31690      27570      32517      26327      32163      27603      32528      26820      32197      29296      32014      29480      31770      30096      32149      28457      32611      27312      31352      26946
