                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:       1399       4678       2788       1625       1530       1385       1786       2361       1589       1237       2097        612       1844        614       1656        740       1967       1408       1607        683       2664       5778       1659        438       1622       1484       1655       1329       2089        634       1261        522
      NET_TX:         11          4          6         15         10         10          8          6         13          8          5         10         30          9         11         10          9         10         14          7          8          7          9         11         11         13         12         11         13         10         24         10
      NET_RX:       1253        269       1516       4534       1483       1379       2477       3463       3275       1294       1589       1240       2517       2412       2964       3154       1318       2681       1518       1500       1866        879       1509       1718       1780       3641       1042       3807       3609       3758       2876       2596
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:       2757       7948        999      16011      12089       6601       7165      25403       7174       5330        372        824       1214       1562       1892       1789       1020       1251        596        716        528        374        497        962       1061       1782        506       2187       1683       1642       2916       1508
       SCHED:      15239      12980       7464       6908       7135       4764       7965       5884       8279       4720       7801       4753       7178       4050       8275       3460       7861       4411       8095       3669       8559       8596       7055       4447       6596       5872       7015       4666       7698       3968       6572       3612
     HRTIMER:          0          0          1          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:       7456       9451       6566       5968       7088       4314      10553       6972       8665       5142       8146       5031       7137       4259       8365       3409       7212       4155       8214       3639       7504       5760       7765       6330       7100       7075       7380       5073       7508       4049       6409       3587
