                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     253791     232818     242035     216099     256672     248969     237300     230951     218055     210845     243642     236228     239810     233111     257390     248862     261545     252934     250991     246963     261605     252422     241483     234089     258488     252224     236964     228297     227245     218965     240179     232328
      NET_TX:       1683        725       1974       1782       1565        995       1657       1316       1153       1648       1291       1346        937        955       1314       1305        756       1145       1173       1033       1424       1312       1538       1399        857       1023        993       1049       1408       1071        914       1330
      NET_RX:  103499743   75504496  102885971  103660529   76303947   73119255   89166229   94017162  101608129   98835911   80380780   76910690   84801119   82684319   72617657   72407243   70267617   71819308   76957716   72824628   68452521   70072742   88288320   93403456   66916216   72808444   88340911   84452877   92184688   94438888   76903776   79582400
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   27776847      38108   28503892   30106031   27946746   24948409   26087229   29783727   27591689   27929666   25283662   24550543   27039371   26375379   25596341   25464756   25632578   27608908   27069972   26725191   25270677   26612939   26297577   29749390   24254473   27751160   26337816   25907690   26694653   29634339   24446103   26480479
       SCHED:     424006     286299     250828     211641     245588     209656     237368     202958     241202     204035     231681     199975     240961     200325     232449     193320     235120     200549     245586     200732     240600     198167     232121     200704     233583     200581     235805     184102     230381     185268     234292     199031
     HRTIMER:      15071         16       2026      10751      54119      15231      23300      16864       5153      13905        481       6309       3312      33784       1375      17346        612      22679      40966      22967      48682      26896      66424      63986        745      73515      81738       2511       2791       6380       5269      43600
         RCU:     263545     250826     265227     234978     250334     227925     256804     236296     262158     237435     254147     231433     255782     229837     251381     222516     248050     226508     251413     226379     249390     225116     255149     229779     249211     222853     252314     227537     250946     221403     247339     227096
