                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     243851     227144     236674     212164     251905     245485     231647     226998     213156     206972     239905     233305     235835     228871     253699     245168     257722     248707     246213     243067     257127     248903     236551     230001     255232     247631     231461     226050     222936     215584     236670     228931
      NET_TX:       1681        725       1973       1782       1562        995       1656       1313       1153       1647       1289       1344        935        953       1313       1305        755       1139       1169       1031       1419       1310       1537       1377        857       1020        988       1048       1408       1071        913       1327
      NET_RX:   99147099   74517660  100141759   99142597   70811698   68465654   82961531   88801590   97958976   94063522   78282900   73563976   82296163   76927769   70383244   67171880   67571827   65877461   70430552   67281581   62779260   64749098   81614976   86872285   64601075   65696638   80398085   82294332   88801427   90063492   73744868   74889152
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   25655068      35561   27208908   27856769   25248514   22591951   23216026   27035938   25826730   25342185   24327144   22843217   25794860   23436370   24649133   22890366   24071466   24496206   24053005   23867832   22690433   24008005   23211808   26631600   23061846   24296728   22694607   24785696   25101219   27357533   22981021   24018910
       SCHED:     348684     238991     211852     181007     203681     175408     200961     174757     205553     175586     195935     170038     205387     168278     196748     163052     198802     166661     203184     167640     199826     164961     194237     170618     198516     162691     194599     158130     195184     158606     197187     167003
     HRTIMER:        497          0        485        210        324        355        570        175        369        696        459        171         90        317        350        370        377        142        511        219        300        401        311        295        408        119        936        452        306        272        243        339
         RCU:     241031     232801     241536     216930     227497     207939     234459     218030     239378     218871     232040     212706     233988     210524     229195     203895     226178     206443     228491     206481     226592     205058     233370     210928     228039     202007     229092     209267     229020     203770     225345     207273
