[11:57:59] [11:57:54] throughput=2.67 Gb/s  conns_total=48  conns_active=48
[11:58:05] [11:58:00] throughput=15.10 Gb/s  conns_total=64  conns_active=64
[11:58:10] [11:58:06] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:58:16] [11:58:12] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:58:22] [11:58:18] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[11:58:28] [11:58:24] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[11:58:33] [11:58:30] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:58:39] [11:58:36] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[11:58:45] [11:58:42] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:58:51] [11:58:48] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[11:58:56] [11:58:52] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:59:02] [11:58:58] throughput=15.15 Gb/s  conns_total=64  conns_active=64
[11:59:08] [11:59:04] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:59:14] [11:59:10] throughput=15.14 Gb/s  conns_total=64  conns_active=64
[11:59:19] [11:59:16] throughput=15.14 Gb/s  conns_total=64  conns_active=64
[11:59:25] [11:59:22] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:59:31] [11:59:26] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:59:37] [11:59:32] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[11:59:42] [11:59:38] throughput=15.11 Gb/s  conns_total=64  conns_active=64
[11:59:48] [11:59:44] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[11:59:54] [11:59:50] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[11:59:59] [11:59:56] throughput=15.11 Gb/s  conns_total=64  conns_active=64
[12:00:05] [12:00:02] throughput=15.15 Gb/s  conns_total=64  conns_active=64
[12:00:11] [12:00:08] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:00:17] [12:00:12] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:00:22] [12:00:18] throughput=15.14 Gb/s  conns_total=64  conns_active=64
[12:00:28] [12:00:24] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:00:34] [12:00:30] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:00:47] [12:00:44] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:00:54] [12:00:50] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:01:00] [12:00:56] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:01:06] [12:01:02] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:01:12] [12:01:08] throughput=15.14 Gb/s  conns_total=64  conns_active=64
[12:01:19] [12:01:14] throughput=15.15 Gb/s  conns_total=64  conns_active=64
[12:01:25] [12:01:20] throughput=15.11 Gb/s  conns_total=64  conns_active=64
[12:01:30] [12:01:26] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:01:36] [12:01:32] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:01:42] [12:01:38] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:01:48] [12:01:44] throughput=15.14 Gb/s  conns_total=64  conns_active=64
[12:01:53] [12:01:50] throughput=15.11 Gb/s  conns_total=64  conns_active=64
[12:01:59] [12:01:56] throughput=15.10 Gb/s  conns_total=64  conns_active=64
[12:02:05] [12:02:02] throughput=15.14 Gb/s  conns_total=64  conns_active=64
[12:02:11] [12:02:06] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:02:16] [12:02:12] throughput=15.12 Gb/s  conns_total=64  conns_active=64
[12:02:22] [12:02:18] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:02:28] [12:02:24] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:02:33] [12:02:30] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:02:39] [12:02:36] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:02:45] [12:02:42] throughput=15.10 Gb/s  conns_total=64  conns_active=64
[12:02:51] [12:02:48] throughput=15.11 Gb/s  conns_total=64  conns_active=64
[12:02:57] [12:02:52] throughput=15.13 Gb/s  conns_total=64  conns_active=64
[12:03:02] [12:02:58] throughput=15.08 Gb/s  conns_total=128  conns_active=64
[12:03:08] [12:03:04] throughput=15.12 Gb/s  conns_total=128  conns_active=64
