                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      80352      71048      67853      65559      74497      72920      67498      66695      65206      64414      79663      79039      77362      75307      78793      76837      79910      78674      71269      73303      82717      80484      73421      73660      79321      78583      74780      75813      71357      68834      79884      78556
      NET_TX:        616        210        535        554        415        288        624        337        429        493        306        340        277        348        439        381        258        434        392        345        376        461        493        384        338        381        391        331        452        397        325        421
      NET_RX:   30056039   21079588   32216378   31640501   26112977   26619176   31391642   31040818   31491722   30903565   23977290   23492686   25632213   25323666   25764135   25314087   23715130   23727998   27175094   26776108   22589107   22855752   28522060   28360161   23333748   22582494   25574259   25331736   29025650   28694005   23213687   23082426
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    8561474      13862    8825494    9017423    8496331    8271175    8470241    9118267    8863469    9045491    8531634    8355912    8424502    8622961    8881771    8634995    8493427    8745590    8439257    8959826    8059288    8270870    8829530    8717719    8396732    8145885    8263451    8485332    8770634    9001087    8345010    8435966
       SCHED:     124616      92242      81525      70064      78196      71141      75614      66265      78554      71720      73454      65473      76552      64249      74818      66558      76362      67212      79175      66682      76410      65215      73261      70614      74915      63467      73380      62557      72499      63744      73059      65483
     HRTIMER:        316          0        105        123         89        125         98         69         47        185         89         50         63        124        142        125        174         76        114         24         23        157        113        283        166        100          3         73         91        150         71        129
         RCU:      75405      73902      76959      67350      72718      67996      72939      67142      75942      71822      72782      67990      73219      65496      73997      68012      72151      67421      72906      66967      71946      67084      71225      68693      72949      66222      73134      66807      72585      65578      70894      68124
