                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      69906      64939      61439      60606      69436      68510      62074      61787      59510      59766      74382      74688      72082      70885      73598      72335      75089      74293      66442      69047      78009      76161      67952      69000      74670      74522      70063      71602      66207      64365      75190      74545
      NET_TX:        613        208        529        544        413        287        617        330        425        485        304        336        276        345        432        377        257        430        387        344        375        460        489        362        336        378        387        330        440        390        315        417
      NET_RX:   20949298   17422859   23364660   23313960   18154903   18978612   23340917   22686324   23055420   22956429   16406706   16311708   17630580   17703717   17324261   17480136   16231240   16216083   19725176   19227538   15259750   15063647   19420412   19904983   15567483   15263077   18123919   17953747   20608824   20452937   15343518   15885536
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    5167181      11517    5375281    5746995    5145918    4947402    5442772    5769974    5584188    5762588    5458969    5224836    5242628    5386654    5455687    5267861    5402962    5461072    5313327    5708415    4920988    4892145    5272384    5257558    5195425    4947510    5314572    5397290    5501932    5623837    5077268    5339031
       SCHED:      47022      38824      35194      29987      30477      27504      33926      28879      35268      32905      29080      25798      32566      24520      30027      26415      30821      25033      33775      25050      31699      22881      31401      33775      29508      23151      31858      25995      30332      26745      27141      24785
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      52419      53265      54014      46775      48982      46034      50331      46554      53022      50312      50092      46565      50715      44448      51191      46632      49164      45461      49996      45449      49067      44998      49045      47968      49987      44872      50385      46434      50001      45177      48233      46850
