[11:13:42] [11:13:38] throughput=5.56 Gb/s  conns_total=304  conns_active=304
[11:13:48] [11:13:44] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:13:54] [11:13:50] throughput=5.86 Gb/s  conns_total=320  conns_active=320
[11:13:59] [11:13:56] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:14:05] [11:14:02] throughput=5.86 Gb/s  conns_total=320  conns_active=320
[11:14:11] [11:14:08] throughput=5.86 Gb/s  conns_total=320  conns_active=320
[11:14:17] [11:14:14] throughput=5.87 Gb/s  conns_total=320  conns_active=320
[11:14:22] [11:14:20] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:14:28] [11:14:24] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:14:34] [11:14:30] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:14:40] [11:14:36] throughput=5.91 Gb/s  conns_total=320  conns_active=320
[11:14:46] [11:14:42] throughput=5.86 Gb/s  conns_total=320  conns_active=320
[11:14:52] [11:14:48] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:14:58] [11:14:54] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:15:04] [11:15:00] throughput=5.90 Gb/s  conns_total=320  conns_active=320
[11:15:09] [11:15:06] throughput=5.90 Gb/s  conns_total=320  conns_active=320
[11:15:15] [11:15:12] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:15:21] [11:15:18] throughput=5.87 Gb/s  conns_total=320  conns_active=320
[11:15:26] [11:15:24] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:15:32] [11:15:28] throughput=5.90 Gb/s  conns_total=320  conns_active=320
[11:15:38] [11:15:34] throughput=5.87 Gb/s  conns_total=320  conns_active=320
[11:15:43] [11:15:40] throughput=5.86 Gb/s  conns_total=320  conns_active=320
[11:15:49] [11:15:46] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:15:55] [11:15:52] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:16:01] [11:15:58] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:16:06] [11:16:04] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:16:12] [11:16:08] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:16:18] [11:16:14] throughput=5.90 Gb/s  conns_total=320  conns_active=320
[11:16:24] [11:16:20] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:16:29] [11:16:26] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:16:35] [11:16:32] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:16:41] [11:16:38] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:16:46] [11:16:44] throughput=5.86 Gb/s  conns_total=320  conns_active=320
[11:16:52] [11:16:50] throughput=5.87 Gb/s  conns_total=320  conns_active=320
[11:16:58] [11:16:54] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:17:04] [11:17:00] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:17:10] [11:17:06] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:17:15] [11:17:12] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:17:21] [11:17:18] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:17:27] [11:17:24] throughput=5.85 Gb/s  conns_total=320  conns_active=320
[11:17:32] [11:17:30] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:17:38] [11:17:34] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:17:44] [11:17:40] throughput=5.87 Gb/s  conns_total=320  conns_active=320
[11:17:50] [11:17:46] throughput=5.89 Gb/s  conns_total=320  conns_active=320
[11:17:55] [11:17:52] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:18:01] [11:17:58] throughput=5.87 Gb/s  conns_total=320  conns_active=320
[11:18:07] [11:18:04] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:18:13] [11:18:10] throughput=5.86 Gb/s  conns_total=320  conns_active=320
[11:18:18] [11:18:16] throughput=5.88 Gb/s  conns_total=320  conns_active=320
[11:18:24] [11:18:22] throughput=5.85 Gb/s  conns_total=320  conns_active=208
[11:18:30] [11:18:26] throughput=3.87 Gb/s  conns_total=512  conns_active=224
[11:18:36] [11:18:32] throughput=4.08 Gb/s  conns_total=512  conns_active=224
[11:18:42] [11:18:38] throughput=4.41 Gb/s  conns_total=576  conns_active=272
[11:18:47] [11:18:44] throughput=5.85 Gb/s  conns_total=640  conns_active=320
