                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      43914      28577      45587      27595      34681      24517      33786      26318      33583      33434      33566      22661      34059      24945      31946      24750      33667      25187      33614      23170      34461      33239      32106      22963      33235      24327      32848      23814      36561      23154      32060      23587
      NET_TX:        493        146        561        446        584        363        487        514        430        514        429        462        540        509        459        513        446        423        596        376        414        497        439        497        416        468        397        476        530        399        351        419
      NET_RX:   35812202   12815530   35998288   31728075   34178276   29603226   32410785   31107402   34111424   31273802   34059547   31316367   34502062   31927456   33013300   34079864   35571849   33539869   34949205   30631019   34766721   32305588   34056344   33070771   35038090   32100579   35683183   31627873   36591409   30174128   34989254   33019151
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   13194668      14733   12996891   12000532   12304259   11576594   10923547   12091951   11896564   12462767   11815531   12685211   12295828   12892334   10818676   13838319   12478314   13613651   12763382   11664082   12543358   13053277   11808748   13501335   12032384   12643320   12785439   12572622   13727472   11452659   12468052   13468090
       SCHED:     267296     190564     164895     136313     150495     124892     148713     123081     150399     124785     147520     119749     146725     119031     147008     116130     147657     116952     148524     117410     148488     126079     146475     116338     147631     118235     148487     118668     148896     118257     147483     114470
     HRTIMER:       2276          1       1675       2075       2851       2608       1870       2531       2134       3322       1435       2312       1241       2750       1979       1396       2087       1879       2345       2610       1271       2356       2507       1077       2561       1736       1035       2124       1900       1301       1101       1609
         RCU:      88489      77227      86264      74130      85550      70171      88689      74583      89070      73896      87203      72493      86540      71497      86005      69836      86636      69838      86270      70843      86602      73579      85645      72881      86559      72462      87541      71498      88001      70350      85788      68430
