                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      30683      21807      33048      19343      26012      17116      24886      18747      24973      23257      25654      15832      25649      17802      24285      17492      25372      18121      25009      16401      26153      26321      24182      16037      25228      17229      25055      16938      28816      16091      24247      16148
      NET_TX:        492        143        554        443        582        359        484        510        428        511        426        451        514        501        452        511        443        417        593        373        408        490        430        495        407        466        395        471        526        398        346        415
      NET_RX:   24275293    9099668   24256012   21928696   22732333   19074293   23608181   20492738   23439997   20152482   23924644   20321243   23244366   20792980   23784062   22721392   23865069   22267679   23737902   20365899   24220619   21279968   22722277   21888050   23448538   21395650   24164731   21205150   24970977   20157112   24269497   21589846
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    8724681      13188    8470046    8395466    7836592    7337037    7974727    7962662    7928076    7925255    8177500    8149233    7974761    8391521    7724567    9258736    7977605    9113285    8486889    7749404    8643198    8670222    7494557    8983322    7617987    8505072    8315562    8561898    9173606    7655644    8508903    8829804
       SCHED:     190261     133633     113452      90746     104233      82324     102198      81681     104691      83474     102270      80128     101111      78747     101964      76920     103169      77573     103232      77094     103173      86084     101699      77221     103312      78268     103584      78281     104718      77841     102747      74945
     HRTIMER:       1956          1       1611       1907       2807       2512       1680       2271       1994       3276       1289       2249       1062       2465       1814       1313       2001       1759       2160       2183       1160       2219       2393        539       2409       1555        950       2013       1386       1196       1025       1525
         RCU:      63937      56481      62616      51942      62026      48453      65104      52596      65549      51940      63862      50420      62921      49543      62506      48482      63088      48341      62741      48982      62935      51912      62373      50985      63360      50772      63850      49463      64462      48430      62325      46957
