                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      50390      33361      52773      31443      39372      27726      38797      29036      37844      41123      37918      25413      37878      28012      36146      27738      38126      28338      38358      25569      39239      36735      36855      25600      37489      27623      37349      26778      41296      25888      36240      26890
      NET_TX:        494        148        561        448        584        368        488        515        431        514        430        462        570        511        461        516        447        424        598        376        418        497        441        497        419        468        398        476        530        399        351        422
      NET_RX:   39681828   13631463   38485966   35110131   36674076   32243851   35758691   33853064   36592985   34476693   36747321   33960555   36952549   34605758   35158590   37050038   38364854   36226503   38041576   33195874   37804508   35546051   37159440   35450411   37881642   34806676   38059528   34398694   39930953   32742212   37878717   36375590
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   15000982      17306   14082792   13581649   13417079   12801604   12380358   13414559   12902434   14035007   12941222   13981789   13299969   14185897   11638052   15279419   13649755   14905871   14160407   12825420   13865612   14629064   13128023   14631670   13227583   13959015   13739421   13912162   15264287   12611920   13683569   15123799
       SCHED:     333577     223898     194672     155487     178219     141681     175304     139769     175904     146378     173870     136663     173571     137267     175703     132991     173702     135151     175064     133369     174956     143440     173251     133550     173903     135111     175664     135330     176716     134743     174016     132516
     HRTIMER:       2278          1       1676       2076       2851       2623       1872       2533       2136       3326       1453       2313       1250       2754       2130       1398       2087       1888       2347       2610       1274       2360       2514       1080       2562       1755       1035       2129       1902       1302       1101       1613
         RCU:     108051      91156     105004      86285     104779      81596     107327      86196     106053      88439     104760      83892     104944      83984     104931      81530     104898      82666     104904      82281     104120      85613     103563      84757     103891      85307     106016      83170     107465      81703     103834      81161
