                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      45774      30120      47286      28820      36162      25718      35170      27208      34771      35619      34759      23449      34942      25766      33074      25629      34912      26190      34847      24082      35928      34618      33453      23956      34288      25754      34317      24871      37746      23989      33109      24592
      NET_TX:        494        146        561        447        584        365        488        515        431        514        429        462        548        509        460        514        447        423        598        376        416        497        439        497        417        468        397        476        530        399        351        420
      NET_RX:   36952400   13177624   37119957   32852841   35315596   30407145   33512712   32196951   35110393   32321936   35103097   32399228   35489319   32809820   33929292   35108903   36692057   34550860   36032729   31716435   35776771   33309938   35123829   34049577   36196089   33173720   36827302   32615079   37736982   31211114   36076705   34122103
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   13647099      15345   13422318   12455077   12755477   11872587   11346891   12526934   12260146   12893361   12221558   13130491   12652177   13209699   11129057   14237261   12903833   13998689   13177838   12094301   12916546   13434439   12209563   13874609   12476810   13080988   13235083   12946263   14180189   11861663   12878925   13917143
       SCHED:     279823     198534     172000     141934     157308     130519     155470     128130     156367     131159     153653     124480     153435     124746     153696     121158     154148     122695     155256     122464     154833     131769     153305     121188     153612     123693     155561     123742     155957     122905     153958     119866
     HRTIMER:       2276          1       1675       2075       2851       2610       1871       2532       2134       3324       1452       2313       1250       2754       2130       1396       2087       1888       2345       2610       1273       2360       2514       1079       2562       1754       1035       2128       1900       1302       1101       1609
         RCU:      93936      81259      90498      77309      90154      73461      93463      77755      92556      77954      91207      75271      90920      75194      90308      72958      91446      73830      90938      74055      90514      77141      90061      75748      90279      76103      92029      74452      93060      73143      89920      71779
