                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     176547     157865     153150     143036     171657     163337     165578     161837     147299     141263     174089     168379     157670     149286     175547     165807     177277     168731     167212     164169     178291     170510     163238     157492     174982     168486     167921     162022     149209     141797     157273     149598
      NET_TX:       1505        518       1724       1471       1416        951       1420       1107        961       1372       1015       1128        787        802       1020       1104        670        949        952        752       1070       1077       1181       1044        687        846        814        860       1140        813        733       1005
      NET_RX:   71427012   51206311   73331685   72419487   55352103   52917024   56564943   62013717   71343184   67489105   51567482   46682766   66284516   61241847   54302888   50960047   52138683   50957234   54940034   52062935   48028443   49636135   60896107   65835073   49164656   50467621   53651009   55148231   68712009   70142544   58082315   59319837
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   19509527      26678   20760215   21151808   19511765   17594008   16915865   20748751   19522703   19207207   17817639   16547165   20215211   18459868   19036146   17403386   18678519   19399245   18549096   18370042   17556542   18521892   17700212   20804580   17622068   18983250   16883125   18432182   19676838   21380376   17300244   18403458
       SCHED:     329229     224494     197168     167927     188357     164071     184944     159813     189027     163494     180412     157660     189168     155474     181592     150845     184158     154712     187839     153122     183112     151626     178528     158400     183003     150878     180380     146391     180609     146931     183168     153932
     HRTIMER:        497          0        485        210        324        355        570        175        369        696        459        171         90        317        350        370        377        142        511        219        300        401        311        295        408        119        936        452        306        272        243        339
         RCU:     185263     178960     181400     161850     174096     156414     175683     160237     181537     164697     174925     157613     178221     157361     175245     153111     171753     153657     173758     152762     170840     151986     171426     157145     173135     151217     174232     153355     174784     151569     172603     155406
