                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     171896     153854     150644     141017     169556     162604     163188     160824     145407     139974     172268     167105     155542     147777     173619     164854     176049     167541     165640     163314     176714     169501     161065     156078     173281     167428     165614     161064     147077     141078     155671     148779
      NET_TX:       1505        517       1722       1471       1414        951       1420       1107        960       1372       1015       1125        787        802       1020       1104        670        949        952        752       1070       1077       1179       1023        687        846        813        860       1140        812        732       1005
      NET_RX:   71012756   51035583   72793097   72128176   55028060   52288151   55648066   61177095   71012760   67110313   50825212   46401262   66015970   61062622   53567486   50141250   51854032   50691182   54568566   51217462   47041795   48858853   60532179   65592912   48928440   49200957   53354483   54362098   68342305   69445907   57800987   58532886
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   19304559      24898   20477837   21029525   19357262   17278777   16464690   20314945   19488418   18964925   17465126   16339239   20171347   18367016   18713392   16932899   18613275   19205168   18375300   17920037   17032230   18049188   17586335   20681967   17553797   18290712   16808537   17964483   19534766   21022290   17248097   17917797
       SCHED:     298851     211197     186110     158564     176542     159102     173869     154565     178772     158391     170735     149689     177016     149333     171882     146677     174152     149245     177598     148988     172593     147051     168406     152984     172637     146468     169105     142570     169724     143352     172408     149533
     HRTIMER:        497          0        485        210        324        355        570        175        369        696        459        171         90        317        350        370        377        142        511        219        300        401        311        295        408        119        936        452        306        272        243        339
         RCU:     177062     172093     173327     154688     165675     152465     167177     155726     173861     160683     167626     151893     169710     152784     168069     149784     164550     149708     165817     149255     162861     148355     163831     152956     165708     147740     165975     149852     166610     148665     164715     152016
