                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     116983      88577     121012      91391     100561      87488     101505      85950     101356     113552     100566      82717     101821      86676      98055      85058      99194      88370     102638      84394     101551      95536     101539      84688      98746      86552     100736      87293     103941      87448      98995      87221
      NET_TX:       1071        776       1477       1486       1863        843       1691       1525       1501       1681       1414       1410       1792       1590       1398       1458       1411       1319       1711       1518       1785       1643       1566       1535       1425       1438       1343       1422       1395       1370       1169       1582
      NET_RX:   71135764   32390119   70834160   66469845   67378836   63141504   65955187   60259833   67397928   65023041   67721355   65640726   67453749   63847206   66000716   68834359   69945634   67362075   69641183   63347505   67369447   66153326   68252727   66897740   69072690   65442784   67836613   65740282   71047339   63376770   68493832   66877201
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   24716874      25343   24329103   23096395   23061945   21992652   21545657   21594588   22332610   23631030   22430075   24068091   22534074   23282927   21080962   25166551   22865942   24953178   23976993   21879518   23501256   23797076   22660250   24613512   22335914   23507153   22268523   24034833   24702708   22277112   23089089   25082570
       SCHED:     504789     360635     309942     254953     290465     234815     280630     223469     281814     242959     283352     223813     279360     222812     283580     219645     282371     223441     284973     220000     278082     234431     281011     219794     281331     222380     283842     221026     284744     219631     279742     216171
     HRTIMER:       2764          3       2213       2561       3627       3456       2126       2723       2849       3925       1767       2763       1870       3009       2339       1961       2829       2244       3110       3036       1517       2741       3103       1755       3264       2495       2463       2478       2309       1857       1330       1869
         RCU:     192180     168272     188164     162887     189763     153746     189207     155578     189128     166370     189222     153764     186321     153435     189976     150853     188008     156686     190875     152063     186592     158873     186321     154855     187142     156596     189561     155011     191921     151885     186922     149945
