                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     104066      81485     108536      83396      91143      79175      93578      81796      92943     103339      92547      76343      93000      80930      90450      78361      90628      82098      93439      77838      94529      88947      92414      77502      90386      79726      91672      81201      95402      80691      91302      81150
      NET_TX:       1064        770       1475       1485       1856        842       1685       1524       1498       1681       1411       1409       1770       1588       1396       1450       1404       1310       1705       1513       1777       1641       1563       1533       1423       1431       1339       1416       1392       1370       1166       1579
      NET_RX:   62222405   30451068   62023119   58245061   58712155   55528858   57864503   56324229   58812809   56783108   59400811   57425072   59136792   56765338   57795363   60542587   61164777   59305971   60899324   55191165   60098697   57808550   59774626   58382419   60438416   57356396   60755250   57948444   62568193   55484358   60460871   59042848
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   20894342      23397   20631894   19635868   19492698   18898945   18257412   19861978   18842018   20143116   19025788   20456058   19218524   20075955   17708744   21655702   19310035   21466869   20410784   18400462   20539670   20185721   19277826   20983212   18858326   20149424   19647172   20564898   21208206   18960452   19769636   21539964
       SCHED:     425435     303248     258772     212207     243920     189509     236221     190452     236780     202987     238928     187259     234216     187883     240465     183364     238380     187640     239392     183502     235084     197552     235347     182341     236937     184177     236645     185452     239924     182746     236219     181307
     HRTIMER:       2278          1       1676       2076       2851       2623       1872       2533       2136       3326       1453       2313       1250       2754       2130       1398       2087       1888       2347       2610       1274       2360       2514       1080       2562       1755       1035       2129       1902       1302       1101       1613
         RCU:     165606     146667     162428     139299     164218     129334     164163     134999     163557     142816     163988     131520     160851     131739     164278     128731     162215     134360     164798     129333     161343     136559     160929     132298     161738     133805     163991     133179     166221     129371     161291     127923
