[11:50:19] [11:50:15] throughput=2.86 Gb/s  conns_total=152  conns_active=152
[11:50:25] [11:50:21] throughput=2.49 Gb/s  conns_total=160  conns_active=160
[11:50:31] [11:50:27] throughput=2.41 Gb/s  conns_total=160  conns_active=160
[11:50:36] [11:50:33] throughput=2.45 Gb/s  conns_total=160  conns_active=160
[11:50:42] [11:50:39] throughput=2.45 Gb/s  conns_total=160  conns_active=160
[11:50:48] [11:50:45] throughput=2.51 Gb/s  conns_total=160  conns_active=160
[11:50:54] [11:50:51] throughput=2.43 Gb/s  conns_total=160  conns_active=160
[11:50:59] [11:50:57] throughput=2.45 Gb/s  conns_total=160  conns_active=160
[11:51:05] [11:51:01] throughput=2.44 Gb/s  conns_total=160  conns_active=160
[11:51:11] [11:51:07] throughput=2.36 Gb/s  conns_total=160  conns_active=160
[11:51:17] [11:51:13] throughput=2.39 Gb/s  conns_total=160  conns_active=160
[11:51:22] [11:51:19] throughput=2.38 Gb/s  conns_total=160  conns_active=160
[11:51:28] [11:51:25] throughput=2.43 Gb/s  conns_total=160  conns_active=160
[11:51:34] [11:51:31] throughput=2.41 Gb/s  conns_total=160  conns_active=160
[11:51:40] [11:51:37] throughput=2.41 Gb/s  conns_total=160  conns_active=160
[11:51:45] [11:51:41] throughput=2.44 Gb/s  conns_total=160  conns_active=160
[11:51:51] [11:51:49] throughput=2.34 Gb/s  conns_total=160  conns_active=160
[11:51:57] [11:51:55] throughput=2.41 Gb/s  conns_total=160  conns_active=160
[11:52:03] [11:51:59] throughput=2.29 Gb/s  conns_total=160  conns_active=160
[11:52:09] [11:52:05] throughput=2.37 Gb/s  conns_total=160  conns_active=160
[11:52:14] [11:52:11] throughput=2.35 Gb/s  conns_total=160  conns_active=160
[11:52:20] [11:52:17] throughput=2.30 Gb/s  conns_total=160  conns_active=160
[11:52:26] [11:52:23] throughput=2.56 Gb/s  conns_total=160  conns_active=160
[11:52:32] [11:52:29] throughput=2.41 Gb/s  conns_total=160  conns_active=160
[11:52:37] [11:52:35] throughput=2.42 Gb/s  conns_total=160  conns_active=160
[11:52:43] [11:52:39] throughput=2.43 Gb/s  conns_total=160  conns_active=160
[11:52:49] [11:52:45] throughput=2.40 Gb/s  conns_total=160  conns_active=160
[11:52:55] [11:52:51] throughput=2.29 Gb/s  conns_total=160  conns_active=160
[11:53:00] [11:52:57] throughput=2.38 Gb/s  conns_total=160  conns_active=160
[11:53:07] [11:53:03] throughput=2.45 Gb/s  conns_total=160  conns_active=160
[11:53:12] [11:53:09] throughput=2.36 Gb/s  conns_total=160  conns_active=160
[11:53:18] [11:53:15] throughput=2.35 Gb/s  conns_total=160  conns_active=160
[11:53:24] [11:53:21] throughput=2.37 Gb/s  conns_total=160  conns_active=160
[11:53:30] [11:53:27] throughput=2.39 Gb/s  conns_total=160  conns_active=160
[11:53:36] [11:53:33] throughput=2.42 Gb/s  conns_total=160  conns_active=160
[11:53:42] [11:53:39] throughput=2.39 Gb/s  conns_total=160  conns_active=160
[11:53:47] [11:53:45] throughput=2.39 Gb/s  conns_total=160  conns_active=160
[11:53:53] [11:53:49] throughput=2.34 Gb/s  conns_total=160  conns_active=160
[11:53:59] [11:53:55] throughput=2.43 Gb/s  conns_total=160  conns_active=160
[11:54:05] [11:54:01] throughput=2.41 Gb/s  conns_total=160  conns_active=160
[11:54:11] [11:54:07] throughput=2.39 Gb/s  conns_total=160  conns_active=160
[11:54:17] [11:54:13] throughput=2.40 Gb/s  conns_total=160  conns_active=160
[11:54:22] [11:54:19] throughput=2.33 Gb/s  conns_total=160  conns_active=160
[11:54:28] [11:54:25] throughput=2.45 Gb/s  conns_total=160  conns_active=160
[11:54:34] [11:54:31] throughput=2.40 Gb/s  conns_total=160  conns_active=160
[11:54:40] [11:54:37] throughput=2.31 Gb/s  conns_total=160  conns_active=160
[11:54:45] [11:54:43] throughput=2.40 Gb/s  conns_total=160  conns_active=160
[11:54:51] [11:54:47] throughput=2.42 Gb/s  conns_total=160  conns_active=160
[11:54:57] [11:54:53] throughput=2.44 Gb/s  conns_total=160  conns_active=160
[11:55:02] [11:54:59] throughput=2.91 Gb/s  conns_total=200  conns_active=120
[11:55:08] [11:55:05] throughput=2.79 Gb/s  conns_total=248  conns_active=136
[11:55:14] [11:55:11] throughput=2.93 Gb/s  conns_total=280  conns_active=148
[11:55:20] [11:55:17] throughput=2.89 Gb/s  conns_total=304  conns_active=144
[11:55:26] [11:55:23] throughput=2.45 Gb/s  conns_total=320  conns_active=160
