                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     169898     152031     149676     140381     168825     162041     162066     159789     144377     139242     171453     166602     154344     147031     172827     164163     175408     167139     164856     162042     175778     168822     159748     155382     172684     166945     164978     160389     146108     140439     154754     148402
      NET_TX:       1505        516       1720       1471       1413        950       1419       1107        959       1372       1014       1125        787        800       1020       1104        670        948        951        751       1070       1077       1178       1015        686        843        811        859       1140        811        732       1005
      NET_RX:   70108420   50405096   72029970   71520734   54456740   51454284   54725933   60247552   70016423   66366484   50030827   45797604   65282842   60199421   52665463   49136281   50990869   50273056   53825073   50239756   46037332   48074113   59346911   64586870   48414482   48478898   52509795   53488456   67170947   68362174   56871130   58059718
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   19022887      24125   20250152   20854979   19167307   16968247   16167036   20017029   19147675   18714716   17200745   16149626   19928104   18053846   18376646   16530472   18290388   19072267   18108610   17514426   16597946   17755044   17163938   20332467   17411356   18033261   16515897   17661259   19105864   20631022   16881108   17760198
       SCHED:     287437     203620     179602     152579     169801     152829     166815     148340     171788     152450     163857     144283     169695     143839     165123     141542     167528     143638     170508     143053     165408     141419     162500     147950     166210     141357     163088     136620     163257     138319     165579     144239
     HRTIMER:        495          0        480        178        322        355        570        175        367        695        456        168         89        317        350        212        375        106        511        219        298        401        311        294        406        115        932        447        305        271        199        335
         RCU:     171835     168102     169461     151120     161328     148745     162492     151765     169440     156514     163203     148919     165090     149632     163162     146579     160615     146431     161419     145739     158279     145163     159776     149767     161721     144845     162094     145919     162585     145750     160466     149094
