                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     158833     146164     142690     134599     163301     157752     157841     153928     138684     135084     167450     163558     148019     143120     167632     160597     169725     161946     159532     158084     171125     164106     155287     149253     168275     162181     160798     156388     140934     134649     150678     143891
      NET_TX:       1494        503       1711       1464       1409        949       1418       1097        951       1368       1006       1124        779        795       1018       1101        662        935        946        748       1067       1072       1175        985        684        840        809        855       1133        809        726       1000
      NET_RX:   58248760   43991184   59808763   60672643   44510008   43552452   48519630   48795215   59677841   58609698   42914153   40983135   53793539   52674391   43612774   42888785   40840858   40582571   44526775   43380702   39071264   39305101   50844766   51714000   40888607   39258433   45353735   45492409   57789484   56355212   50590602   49682672
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   14815252      22365   15771377   16990589   15749548   14129339   14305217   15692999   15595813   16178008   15145666   14582546   15726836   15704442   15195568   14515795   14387231   15308574   14689869   14949047   13893653   14349115   14732317   15631797   14779583   14550184   14484359   15048608   16008942   16211710   14716744   14794103
       SCHED:     214565     144143     124372     101195     117148     101231     115803      98882     119869     103510     112326      94474     117864      94416     113686      92638     115328      93242     117940      93742     113739      91648     112690      99864     114115      91181     112576      89041     112763      90378     113886      94288
     HRTIMER:        316          0        105        123         89        125         98         69         47        185         89         50         63        125        142        125        174         76        114         24         23        157        113        283        175        100          3         73         91        150         71        129
         RCU:     145482     142433     142685     125855     135738     124058     137331     126424     143597     131658     138045     124643     139113     124691     137178     121577     134937     120962     135447     121149     133165     120315     134395     124680     136187     119767     136644     121228     136863     120734     135223     124024
