[11:35:49] [11:35:45] throughput=4.60 Gb/s  conns_total=280  conns_active=280
[11:35:55] [11:35:51] throughput=10.56 Gb/s  conns_total=400  conns_active=400
[11:36:00] [11:35:57] throughput=10.69 Gb/s  conns_total=400  conns_active=400
[11:36:06] [11:36:03] throughput=10.56 Gb/s  conns_total=400  conns_active=400
[11:36:12] [11:36:09] throughput=10.73 Gb/s  conns_total=400  conns_active=400
[11:36:18] [11:36:15] throughput=10.71 Gb/s  conns_total=400  conns_active=400
[11:36:24] [11:36:21] throughput=10.72 Gb/s  conns_total=400  conns_active=400
[11:36:29] [11:36:27] throughput=10.65 Gb/s  conns_total=400  conns_active=400
[11:36:35] [11:36:33] throughput=10.54 Gb/s  conns_total=400  conns_active=400
[11:36:41] [11:36:37] throughput=10.67 Gb/s  conns_total=400  conns_active=400
[11:36:47] [11:36:43] throughput=10.76 Gb/s  conns_total=400  conns_active=400
[11:36:52] [11:36:49] throughput=10.57 Gb/s  conns_total=400  conns_active=400
[11:36:58] [11:36:55] throughput=10.80 Gb/s  conns_total=400  conns_active=400
[11:37:04] [11:37:01] throughput=10.60 Gb/s  conns_total=400  conns_active=400
[11:37:09] [11:37:07] throughput=10.68 Gb/s  conns_total=400  conns_active=400
[11:37:15] [11:37:13] throughput=10.36 Gb/s  conns_total=400  conns_active=400
[11:37:21] [11:37:19] throughput=10.72 Gb/s  conns_total=400  conns_active=400
[11:37:27] [11:37:23] throughput=10.66 Gb/s  conns_total=400  conns_active=400
[11:37:33] [11:37:29] throughput=10.51 Gb/s  conns_total=400  conns_active=400
[11:37:38] [11:37:35] throughput=10.61 Gb/s  conns_total=400  conns_active=400
[11:37:44] [11:37:41] throughput=10.56 Gb/s  conns_total=400  conns_active=400
[11:37:50] [11:37:47] throughput=10.72 Gb/s  conns_total=400  conns_active=400
[11:37:55] [11:37:53] throughput=10.67 Gb/s  conns_total=400  conns_active=400
[11:38:01] [11:37:59] throughput=10.61 Gb/s  conns_total=400  conns_active=400
[11:38:07] [11:38:03] throughput=10.73 Gb/s  conns_total=400  conns_active=400
[11:38:13] [11:38:09] throughput=10.64 Gb/s  conns_total=400  conns_active=400
[11:38:18] [11:38:15] throughput=10.71 Gb/s  conns_total=400  conns_active=400
[11:38:24] [11:38:21] throughput=10.73 Gb/s  conns_total=400  conns_active=400
[11:38:30] [11:38:27] throughput=10.70 Gb/s  conns_total=400  conns_active=400
[11:38:36] [11:38:33] throughput=10.61 Gb/s  conns_total=400  conns_active=400
[11:38:41] [11:38:39] throughput=10.58 Gb/s  conns_total=400  conns_active=400
[11:38:47] [11:38:43] throughput=10.71 Gb/s  conns_total=400  conns_active=400
[11:38:53] [11:38:49] throughput=10.72 Gb/s  conns_total=400  conns_active=400
[11:38:59] [11:38:55] throughput=10.71 Gb/s  conns_total=400  conns_active=400
[11:39:05] [11:39:01] throughput=10.55 Gb/s  conns_total=400  conns_active=400
[11:39:10] [11:39:07] throughput=10.80 Gb/s  conns_total=400  conns_active=400
[11:39:16] [11:39:13] throughput=10.71 Gb/s  conns_total=400  conns_active=400
[11:39:22] [11:39:19] throughput=10.72 Gb/s  conns_total=400  conns_active=400
[11:39:28] [11:39:25] throughput=10.68 Gb/s  conns_total=400  conns_active=400
[11:39:34] [11:39:31] throughput=10.60 Gb/s  conns_total=400  conns_active=400
[11:39:39] [11:39:37] throughput=10.75 Gb/s  conns_total=400  conns_active=400
[11:39:45] [11:39:43] throughput=10.71 Gb/s  conns_total=400  conns_active=400
[11:39:51] [11:39:47] throughput=10.72 Gb/s  conns_total=400  conns_active=400
[11:39:56] [11:39:53] throughput=10.70 Gb/s  conns_total=400  conns_active=400
[11:40:02] [11:39:59] throughput=10.70 Gb/s  conns_total=400  conns_active=400
[11:40:08] [11:40:05] throughput=10.34 Gb/s  conns_total=400  conns_active=400
[11:40:14] [11:40:11] throughput=10.47 Gb/s  conns_total=400  conns_active=400
[11:40:19] [11:40:17] throughput=10.65 Gb/s  conns_total=400  conns_active=400
[11:40:25] [11:40:21] throughput=10.59 Gb/s  conns_total=400  conns_active=400
[11:40:31] [11:40:27] throughput=10.64 Gb/s  conns_total=400  conns_active=400
[11:40:37] [11:40:33] throughput=10.49 Gb/s  conns_total=400  conns_active=400
[11:40:42] [11:40:39] throughput=10.66 Gb/s  conns_total=400  conns_active=400
[11:40:48] [11:40:45] throughput=6.65 Gb/s  conns_total=400  conns_active=120
[11:40:54] [11:40:51] throughput=10.69 Gb/s  conns_total=780  conns_active=380
