                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      11760      35199      11716      27537       8131      29889       6703      26777       6095      27423       6047      28945      28930       5197      27179       4699      25163       4462      27612       5169      34387      29144      30278       4808      29423       4473       7065       3511      26304       4209      27149       7852
      NET_TX:          9         14         13         20         12         17         13         20          7         18         15         14         23         13         14         11         12          5         14          6         11         13         20          2         64          3          2          4         13          5         11          7
      NET_RX:    2162019    5850246    2141654    6741668    2179531    6361018    2166215    6770244    2148167    6668270    2159390    6477125    6662772    2059632    6828901    2072584    6844699    2081529    6874666    2042830    4488010    5642775    6494824    2068532    6687124    2086912    2192403    2047935    6760225    2084135    6798233    2081607
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:      87358       7129        164       4063      10830      22084      11242       6982       5931      13520        102         74       1762         24         81         39         84          8         84         40        138         57         77         34         77          6        129          5         60          6         75         35
       SCHED:      89442      63932      68529      62732      64018      60652      61690      61980      60383      60273      60339      58433      62521      56773      64624      55221      63399      54658      67424      54943      57382      55902      61410      53975      61878      54318      62518      54088      64673      52919      61712      57525
     HRTIMER:          2       9302          3       7544          6       8551          4       7173          1       7571          4       8685       7646          2       7515          0       7705          6       7401          4       7412       7144       8868          9       7917          6         10          6       7645          9       7659          6
         RCU:      28335      29017      29644      28198      28850      28761      28274      28114      30401      29703      32586      30630      30568      29066      31404      26314      31166      26011      30975      25968      30358      28119      29930      25514      29871      25601      31055      26557      30866      24542      29478      27473
