                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:        824       1725       2418       1058       2450       1463       1646       1407       1217        887       1178        685       1605       1145       1416        697        988        594       3791        764       2839        371       1572        892       1799        626       2269        565       2240        262        944       3919
      NET_TX:          5          8          8         18          8         16          9         18          5         15          6          8         20          9         10          7          8          2          9          2          9         10         18          0         42          1          2          3         12          0          9          3
      NET_RX:        587        683        192      10293        560       5025        218       2246        270        639        225        872       1602        149       1154        141       3291        667        669        277       2375       1020       1988        280       1506        239        887        617       6149        179       1448        235
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:      85385       5567         18       2867       7182      19499       9686       4335       4283      10799         39         45       1701          0         22         15         50          0         17          0         78         25         32          0         36          0          0          0         26          0         41          0
       SCHED:      13719       7688       7049       5081       6756       5559       5949       5194       5916       4644       6411       4464       6814       5091       7609       3788       5865       3305       9298       3654       6747       3319       7150       3278       6981       3405       7817       3078       7357       1838       5787       6756
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:       4493       5396       6440       4307       5576       4890       5159       4253       6639       5990       9246       6806       6644       6111       7126       3816       7032       3270       7066       3511       6619       4474       5856       2988       5844       2972       6520       2915       6700       2166       5540       4506
