[11:06:13] [11:06:09] throughput=1.05 Gb/s  conns_total=528  conns_active=528
[11:06:19] [11:06:15] throughput=1.04 Gb/s  conns_total=576  conns_active=576
[11:06:25] [11:06:21] throughput=1.09 Gb/s  conns_total=576  conns_active=576
[11:06:31] [11:06:27] throughput=1.05 Gb/s  conns_total=576  conns_active=576
[11:06:37] [11:06:33] throughput=1.11 Gb/s  conns_total=576  conns_active=576
[11:06:42] [11:06:39] throughput=1.12 Gb/s  conns_total=576  conns_active=576
[11:06:48] [11:06:45] throughput=1.11 Gb/s  conns_total=576  conns_active=576
[11:06:54] [11:06:51] throughput=1.06 Gb/s  conns_total=576  conns_active=576
[11:07:00] [11:06:57] throughput=1.02 Gb/s  conns_total=576  conns_active=576
[11:07:05] [11:07:03] throughput=1.06 Gb/s  conns_total=576  conns_active=576
[11:07:11] [11:07:07] throughput=1.03 Gb/s  conns_total=576  conns_active=576
[11:07:17] [11:07:13] throughput=1.06 Gb/s  conns_total=576  conns_active=576
[11:07:23] [11:07:19] throughput=1.08 Gb/s  conns_total=576  conns_active=576
[11:07:29] [11:07:25] throughput=1.05 Gb/s  conns_total=576  conns_active=576
[11:07:34] [11:07:31] throughput=4.45 Gb/s  conns_total=576  conns_active=576
[11:07:40] [11:07:37] throughput=4.32 Gb/s  conns_total=576  conns_active=576
[11:07:46] [11:07:43] throughput=4.37 Gb/s  conns_total=576  conns_active=576
[11:07:52] [11:07:49] throughput=3.83 Gb/s  conns_total=576  conns_active=576
[11:07:58] [11:07:55] throughput=4.87 Gb/s  conns_total=576  conns_active=576
[11:08:04] [11:08:01] throughput=1.05 Gb/s  conns_total=576  conns_active=576
[11:08:09] [11:08:07] throughput=1.01 Gb/s  conns_total=576  conns_active=576
[11:08:15] [11:08:13] throughput=1.05 Gb/s  conns_total=576  conns_active=576
[11:08:21] [11:08:17] throughput=1.05 Gb/s  conns_total=576  conns_active=576
[11:08:27] [11:08:23] throughput=1.10 Gb/s  conns_total=576  conns_active=576
[11:08:33] [11:08:29] throughput=1.12 Gb/s  conns_total=576  conns_active=576
[11:08:39] [11:08:35] throughput=1.10 Gb/s  conns_total=576  conns_active=576
[11:08:45] [11:08:41] throughput=1.10 Gb/s  conns_total=576  conns_active=576
[11:08:50] [11:08:47] throughput=1.13 Gb/s  conns_total=576  conns_active=576
[11:08:56] [11:08:53] throughput=1.10 Gb/s  conns_total=576  conns_active=576
[11:09:02] [11:08:59] throughput=1.07 Gb/s  conns_total=576  conns_active=576
[11:09:08] [11:09:05] throughput=2.29 Gb/s  conns_total=576  conns_active=576
[11:09:14] [11:09:11] throughput=1.11 Gb/s  conns_total=576  conns_active=576
[11:09:20] [11:09:17] throughput=1.12 Gb/s  conns_total=576  conns_active=576
[11:09:25] [11:09:23] throughput=1.14 Gb/s  conns_total=576  conns_active=576
[11:09:31] [11:09:27] throughput=1.07 Gb/s  conns_total=576  conns_active=576
[11:09:37] [11:09:33] throughput=1.08 Gb/s  conns_total=576  conns_active=576
[11:09:43] [11:09:39] throughput=1.04 Gb/s  conns_total=576  conns_active=576
[11:09:49] [11:09:45] throughput=4.33 Gb/s  conns_total=576  conns_active=576
[11:09:55] [11:09:51] throughput=4.32 Gb/s  conns_total=576  conns_active=576
[11:10:00] [11:09:57] throughput=4.25 Gb/s  conns_total=576  conns_active=576
[11:10:06] [11:10:03] throughput=4.32 Gb/s  conns_total=576  conns_active=576
[11:10:12] [11:10:09] throughput=4.17 Gb/s  conns_total=576  conns_active=576
[11:10:18] [11:10:15] throughput=4.60 Gb/s  conns_total=576  conns_active=576
[11:10:24] [11:10:21] throughput=5.59 Gb/s  conns_total=576  conns_active=576
[11:10:29] [11:10:27] throughput=2.05 Gb/s  conns_total=576  conns_active=576
[11:10:35] [11:10:31] throughput=1.03 Gb/s  conns_total=576  conns_active=576
[11:10:41] [11:10:37] throughput=981.71 Mb/s  conns_total=576  conns_active=576
[11:10:47] [11:10:43] throughput=959.48 Mb/s  conns_total=576  conns_active=576
[11:10:53] [11:10:49] throughput=1.02 Gb/s  conns_total=576  conns_active=576
[11:10:58] [11:10:55] throughput=1.15 Gb/s  conns_total=720  conns_active=240
[11:11:04] [11:11:01] throughput=1.05 Gb/s  conns_total=936  conns_active=456
[11:11:10] [11:11:07] throughput=1.04 Gb/s  conns_total=1008  conns_active=480
[11:11:16] [11:11:13] throughput=1.03 Gb/s  conns_total=1152  conns_active=576
[11:11:21] [11:11:19] throughput=1.09 Gb/s  conns_total=1152  conns_active=576
