                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     195002     228472     211470     227717     188565     208940     187413     215656     206646     213935     187556     213425     221795     179274     213940     174756     211301     189304     214293     176541     200994     194733     219054     182431     211003     173428     196015     185819     215978     177559     216983     177702
      NET_TX:        284        982        212       6867        490       4909        301       3155        214       4329        418       8357       3327        324       3463        358       5040        258       1233        268       1189       7877       6372        208       4590        256        401        295       7603        360       3432        314
      NET_RX:   38848944   72622114   39030960   73543841   39081678   72847262   39146743   73570174   39057348   71643588   39413965   74140689   71605688   38433074   75120018   38342300   73015198   38040833   72262031   37826066   69324233   71778335   73395695   37930734   76529987   38204655   42922576   42225734   72976305   37728268   74925457   38130070
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     139953     173470       7607     140171      41363     158255      31888     166441       6722     160114       6380     152338     170788       5915     107512       6438     120224       5898     148293       5470     133461     124236     128033       6171     130015       6157       6118       6201     134276       6261     104912       5899
       SCHED:     401389     267645     267246     218219     248303     213680     240614     210863     251271     208469     239088     204774     242279     203930     232182     199350     239494     212320     240653     202087     247503     216857     240076     195826     242358     197709     245699     202361     236259     200048     240314     197236
     HRTIMER:         77      40313         83      47616         82      36122         87      43659         69      37108         93      43580      25046         65      36444         83      22376         51      52683         51      42742      27056      45855         55      49512         81         81         56      16532         73      31503         57
         RCU:     246789     228831     253655     219746     251765     221470     242698     220173     254807     224213     249767     219030     246797     227237     244394     223189     242488     231850     240773     225763     243001     221576     242103     222265     243823     223760     254531     227179     244168     225410     246106     227693
