                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     191755     224499     205887     223839     185485     205110     184503     211479     202109     209897     184771     209463     217412     177358     209304     173141     207070     184723     210464     174910     197006     191162     214654     180871     206558     171710     192928     184333     212094     176044     212843     175914
      NET_TX:        283        982        211       6864        469       4908        299       3153        214       4329        417       8356       3325        324       3462        358       5038        257       1231        268       1189       7876       6371        208       4589        254        399        294       7603        360       3432        313
      NET_RX:   38084902   68391911   38259959   69094283   38305658   68605554   38374718   68963296   38297139   67115034   38644949   69633650   68113485   37794309   70854419   37703145   69342624   37403557   68099393   37195895   65295044   67592460   69134807   37299938   72014039   37567878   42112149   41586889   69876437   37092451   70848756   37495131
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     138244     170299       7471     138749      37458     158199      29355     164807       6575     157667       6300     150310     169198       5884     107490       6437     120165       5885     148222       5470     133429     124219     127958       6161     129953       6156       6036       6200     134208       6191     104873       5899
       SCHED:     348696     232338     235708     191657     219697     188984     212425     186058     222440     183779     211620     180420     212760     181806     202288     177411     209603     188298     211424     179614     218801     192194     210530     174250     212529     176381     217729     181486     207086     178393     210260     175338
     HRTIMER:          8      13151         18       9305         15      10173         13      11646          9      11623          9       9700      12010          7      15870         10       9359          7       9677          8       8655       8460      11459          7      12032          9         16         10       9997          9      11652          7
         RCU:     229299     213528     236079     204715     233215     206268     224721     204601     236041     208554     231500     203713     227952     212365     225931     208072     223144     215474     223483     209867     225792     205796     223959     207557     225729     208910     236764     213106     225312     210909     227414     212140
