                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      63090      73776      68382      68193      63155      64553      63172      68952      70217      66277      63411      67042      71048      62992      68609      59881      66625      61182      66951      58871      61015      60000      67186      60809      65418      59042      71264      68694      67809      62608      68155      61052
      NET_TX:         85        229         63       1052        164        836         60        797         61        728         99        425        721         70        566         89        741         71        284         52        285        612        846         57        469         57         94         59        808         94        739         84
      NET_RX:    8240579   15921578    8256949   16623970    8309523   16005618    8254923   15856024    8243046   16045887    8281006   16213986   16672032    8197082   16356443    8078080   16378876    8145628   16363386    8023067   16004467   16091741   16175011    7975209   16161323    8217429    9006906    8828682   16182777    8071482   16927300    8130057
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     118357      69057       3125      60290      15585      55693      14719      61147       3241      66697       3060      57883      66906       2817      51551       2827      52175       2549      51770       2536      50088      48503      54734       2974      56685       3099       3019       3033      48282       2897      43288       2797
       SCHED:     108468      80018      84476      72958      80211      68720      77321      68837      81668      68039      78236      67447      72588      70616      67616      70699      73609      68371      72778      71858      74987      72097      71652      69528      74233      68789      77320      67252      69655      70769      69438      69153
     HRTIMER:          1      10217          9       5505          1       7147          1       8182          1       7921          0       6497       8282          0      12742          0       6409          0       6093          0       5916       5912       7705          1       8971          1          1          3       6969          0       8363          0
         RCU:      71510      72122      77207      68681      74036      67440      72454      68724      75862      70064      75565      68766      74507      70939      72373      69843      70673      68135      72581      70220      71402      66833      71559      67506      72219      68361      76486      69881      73018      71661      72734      69478
