                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      59622      62040      61889      61231      59954      57248      60213      61444      65089      58715      60452      60469      62057      60879      59227      57751      59539      59176      59248      56909      53586      53436      59054      58858      57936      56985      67191      66517      59966      60403      60113      59187
      NET_TX:         81        229         61       1052        141        836         60        795         58        727         96        424        721         68        565         86        741         70        284         48        285        611        844         55        465         51         89         57        807         90        737         82
      NET_RX:    5864215    8311434    5837252    9177007    5881883    8547367    5854083    8327307    5870339    8573011    5878253    8801301    9005783    5915416    8843912    5814635    8831048    5886737    8920735    5767654    8861491    8874661    8495782    5731415    8544662    5951679    6383198    6425719    8590420    5818756    9250921    5866069
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     116375      67816       2979      59805      13742      55676      12953      60477       3147      66129       3003      57504      66384       2751      51501       2817      52137       2531      51714       2518      49997      48463      54696       2956      56672       3087       2898       3013      48245       2890      43248       2768
       SCHED:      34154      31305      26283      21637      26056      22296      24757      24932      28586      23649      26335      20733      26503      21505      26438      21928      24987      19559      26093      22781      26915      24083      27298      21345      26874      20243      24557      18461      24887      21820      24036      20798
     HRTIMER:          0          0          9          0          0          0          0          0          0          0          0          2          0          0          0          0          0          0          0          0          8          0          0          0          0          0          0          0          0          0          0          0
         RCU:      45737      45990      51264      43110      48281      41793      46545      42947      49826      44203      49723      42887      47971      46121      45999      45378      44319      43678      46129      45219      44914      40955      45158      42914      45682      43268      47975      43715      46540      46734      46162      44631
