                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      77496     101930      81577      92298      70944      84176      70669      90629      80066      88017      70681      88064      93903      68359      86781      64189      85643      65861      88666      63455      81417      77585      90653      65276      84754      63259      77527      72866      88950      67144      89197      65466
      NET_TX:         87        229         64       1052        193        837         65        798         66        729        100        425        722         73        568         93        741         73        284         54        286        617        847         60        470         62         96         60        809         98        742         90
      NET_RX:   11204299   31029160   11297129   30239637   11312591   30911642   11257304   31060001   11247739   29252414   11263351   31476961   30601922   10927941   30951970   10788243   31500150   10846688   31327777   10760119   29101674   29499204   29678787   10680173   31726521   10925171   12451412   11761886   31841870   10742776   32462188   10832988
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     122463      70695       3259      60941      17717      55721      16699      62344       3307      67626       3095      59060      68276       2843      51621       2847      52198       2585      51818       2553      50666      48572      54770       3003      56726       3113       3097       3066      48348       2922      43314       2803
       SCHED:     197386     149130     144047     133916     130860     126000     126292     127966     130149     123913     125442     125943     134608     112961     125488     111733     133256     109313     135410     112755     137842     128874     133811     109336     134433     109833     125933     109299     131664     112370     132122     109931
     HRTIMER:          8      13054         18       9206         15      10058         13      11536          9      11562          9       9609      11927          7      15768         10       9236          7       9556          8       8503       8354      11377          7      11907          9         16         10       9867          8      11475          7
         RCU:      99426     101881     104866      97003     100866      95715      99055      96343     101811      97995     102613      97028     104499      95640     101640      93750     100680      92331     102515      93737     101497      94740     101491      91272     101791      92864     105296      95920     103166      96153     103244      93051
