                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      63718      76400      69712      69218      63779      65649      63995      69915      71728      67338      64490      68324      72223      63666      69932      60245      67841      61598      68227      59240      62060      61139      68807      61122      66563      59401      72065      69282      69559      62921      69580      61343
      NET_TX:         85        229         63       1052        172        836         62        797         62        728         99        425        722         70        566         89        741         71        284         52        286        612        846         57        469         58         94         59        808         94        740         84
      NET_RX:    8547269   17378865    8572262   17959561    8628212   17206225    8566888   17213453    8552714   17318558    8590606   17632302   18001309    8486169   17624581    8366977   17680476    8433835   17652138    8311184   17151488   17423650   17552345    8261384   17462323    8505555    9374160    9153069   17609472    8354644   18275996    8416441
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     118935      69653       3125      60413      15999      55707      15446      61653       3241      67050       3060      58461      67689       2817      51586       2827      52185       2549      51780       2536      50589      48532      54749       2974      56713       3099       3019       3033      48315       2897      43302       2797
       SCHED:     119302      88760      91632      79843      86184      74563      83607      74123      87383      73988      84356      73456      79954      76276      74248      75482      80266      72669      79819      76302      82077      77949      79468      73608      80858      74017      83585      72466      77181      75672      77063      73654
     HRTIMER:          1      10617          9       5776          1       7388          1       8564          1       8018          0       6907       8539          0      13044          0       6661          0       6398          0       6025       6595       7880          1       9339          1          1          3       7184          0       8737          0
         RCU:      75520      76838      81784      72849      78396      71204      76795      71748      79945      74146      80167      72372      79366      74917      76556      73177      75404      70949      76994      73172      75872      69907      76489      70362      76558      72139      80850      73553      77648      75033      77563      72451
