                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      82022     108873      88539      96570      75191      88545      74211      95345      86399      92079      74509      92133      99613      70454      92244      65613      90828      70424      93981      65561      86266      81958      95882      66615      90134      64891      81104      74251      93996      68448      94118      66734
      NET_TX:         88        229         67       1053        223        838         67        798         68        729        100        425        722         74        571         95        744         74        285         57        287        617        847         60        471         62         98         61        809        101        743         91
      NET_RX:   12096144   35626065   12200645   34515236   12214186   35692657   12148921   36223841   12141694   33593609   12144314   35565477   35348342   11722134   35387006   11577538   35841033   11637044   36065097   11552422   32566211   34558037   33941736   11466498   36416623   11722516   13396090   12569558   36566745   11528901   36297275   11617215
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     124768      73376       3408      62464      20595      55743      18264      63410       3500      68807       3227      60485      69368       2967      51769       2848      52252       2586      51909       2554      50742      48623      54806       3007      56876       3118       3098       3470      48436       2938      43376       2803
       SCHED:     263500     185157     175680     156229     159298     148429     154164     149096     159699     145513     152539     146101     163759     133501     155348     130353     161795     132987     164288     133302     168186     150218     162886     128221     163399     129043     153117     128188     159643     130840     161754     128108
     HRTIMER:          8      13150         18       9305         15      10172         13      11646          9      11623          9       9700      12010          7      15869         10       9359          7       9677          8       8651       8460      11459          7      12032          9         16         10       9997          9      11652          7
         RCU:     116979     116926     123330     110273     118912     110252     117444     109871     120388     111883     120287     110034     122586     109742     120718     106537     118701     108186     120504     107609     120562     108247     119515     104471     119671     105893     123069     109500     121243     109160     121387     105590
