                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      78464     105059      82931      93960      71898      86002      71396      92503      81513      89722      71498      89774      95782      69450      88712      64552      87551      66876      90389      64156      82943      79273      92706      65684      86747      63806      78360      73344      90802      67554      90912      65790
      NET_TX:         87        229         65       1052        202        837         66        798         68        729        100        425        722         73        569         94        742         74        285         57        286        617        847         60        470         62         98         61        809         99        743         91
      NET_RX:   11569760   32975174   11672410   31842421   11680036   32856140   11623529   33108888   11610996   31177981   11620998   33478285   32645147   11264035   32986185   11117896   33551983   11178277   32985209   11090297   30345616   31244985   31796290   11009187   33665664   11255493   12884992   12123734   33767587   11069811   34554087   11164119
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     123307      71570       3277      61856      18193      55741      17747      62568       3326      68089       3132      59368      68485       2846      51663       2848      52231       2586      51842       2553      50700      48601      54797       3007      56840       3118       3098       3470      48376       2938      43340       2803
       SCHED:     209222     157991     150840     140267     137441     133517     132411     134685     136560     130604     131447     132347     142827     119701     133796     116135     141463     115289     142927     118236     145616     135697     141988     114511     142642     114787     132892     114859     139302     117035     140851     114520
     HRTIMER:          8      13143         18       9296         15      10170         13      11641          9      11611          9       9698      12005          7      15863         10       9355          7       9674          8       8651       8452      11455          7      12024          9         16         10       9990          8      11651          7
         RCU:     103181     106422     108988     100175     104829      99611     103068      99659     105843     101495     106751     100320     108949     100067     106080      96391     104942      96274     106581      97243     106150      98005     105894      94930     106084      96137     109757      99604     107485      99172     107907      96178
