                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     137158     167859     146154     154771     128973     147580     128983     155001     144372     152633     129472     152913     160147     122493     152871     118848     150452     127355     153661     118189     141958     136472     156420     121274     150192     116665     136219     128589     154710     120921     156061     119922
      NET_TX:        166        437        128       1576        336       1520        153       1744        119       1709        238       1435       1301        184       1138        200       1634        136        653        119        579       2035       2462        128       1207        117        228        139       1592        199       1993        176
      NET_RX:   24797378   51283274   24737701   50951263   24832369   52484701   24746184   52205168   24694159   50182873   24808531   52210856   51375186   24268515   52303333   23979280   51715661   23898513   51510874   23851833   48315199   50954009   51315963   23848573   54618551   24184177   26848470   26156663   53005212   23800196   53275561   23916768
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     131373     118521       4729     101431      28966      93744      22605     104960       4061     105077       3852     102214     110931       3537      86327       3631      89684       3277      92152       3111      89438      81129      86636       3819      86218       3808       3942       3976      90234       3548      73338       3373
       SCHED:     328194     215444     218468     178368     202862     172257     196456     173211     205030     169636     195533     167937     196163     168591     186872     164783     193178     174029     195075     166016     201374     179029     195666     161295     195993     163655     201743     169629     190608     165684     194208     161081
     HRTIMER:          8      13151         18       9305         15      10173         13      11646          9      11623          9       9700      12010          7      15870         10       9359          7       9677          8       8655       8460      11459          7      12032          9         16         10       9997          9      11652          7
         RCU:     168241     159980     175562     152358     172348     154189     168683     153733     175109     155173     173282     152490     172168     155504     170015     154202     167269     159300     169553     154065     170023     153502     169560     151541     169400     153815     176588     157653     170302     156273     171783     152474
