                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     135220     166527     142077     153571     126558     146344     126858     153814     140383     151170     127596     151776     158407     121400     150534     117353     148929     122946     151897     117428     140142     135451     154517     119231     147984     115570     134114     127178     152617     120030     153816     118553
      NET_TX:        166        437        128       1576        314       1520        153       1744        118       1709        238       1435       1301        184       1138        200       1634        136        653        119        579       2035       2462        128       1206        117        228        139       1592        199       1993        174
      NET_RX:   24608817   50134714   24549002   50271811   24633305   51700556   24550988   51949509   24484468   49435519   24593275   51482301   50957901   24131129   51136182   23827795   51375131   23752493   51050809   23715546   47444989   50490231   50517252   23711892   53050993   24052876   26646753   26032466   51871523   23668738   52401313   23779784
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     129669     116665       4025     100867      26569      93599      21656     103966       4061     104272       3852     101090     110425       3537      86316       3631      89668       3277      92143       3111      89418      81120      86625       3819      86205       3808       3942       3976      90216       3548      73326       3373
       SCHED:     300442     206169     206279     174803     190832     168190     185754     167870     191869     165564     184292     164003     186274     161757     177876     157211     183622     164502     185008     159565     191096     172198     185312     153468     186496     156597     191444     161353     181454     158350     183002     154098
     HRTIMER:          8      13150         18       9305         15      10172         13      11646          9      11623          9       9700      12010          7      15870         10       9359          7       9677          8       8651       8460      11459          7      12032          9         16         10       9997          9      11652          7
         RCU:     160090     156704     166799     149635     163244     150309     160794     149536     165867     151987     164819     148944     164829     150338     163334     148582     160223     152391     161950     149256     162142     148219     161863     145508     161968     148367     169177     151398     162830     150485     163375     147237
