                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     139668     164961     150135     153427     131563     156206     130704     153327     129185     153564     133233     152880     166955     113411     164439     113875     164086     112728     177519     118766     166266     149273     164754     128863     171013     114147     140721     120119     167563     113850     163546     116616
      NET_TX:        835       5972        937       4818        932       4818       1031       6507        888       6486       1051       4276       5525        803       5077        911       5751        740       5130        809      14232       7297      18380        723       7371        758       1180        792       4354        881       6860        890
      NET_RX:   25676773   47148454   25394461   55072149   25421711   54273889   25553910   55420105   25409399   48970267   25393819   55720641   53707640   23719961   56701387   23614984   49344003   23964976   55763934   23788838   51354397   52266149   58163958   23547849   58339789   23677503   27445334   24952425   55410771   23862975   53432342   23674639
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     108184     126969       5411     106121      39620     130141      29775     119020      23549     141444       5618      99446      91225       5371     104845       4699      92327       4460      97405       4645      92766      88913      88703       3988      98808       4110       4831       4319      88185       4178      98824       4247
       SCHED:     440531     284100     299435     244870     280333     237242     274219     240203     269602     231652     272613     235599     268404     231520     279297     233365     273629     222658     288859     228676     276318     232817     279179     240575     278191     229636     277680     227675     279837     223068     269330     229395
     HRTIMER:          8      12799          6      10809         10      11309         12      10364         15      11422          9      10642      11278          8       9866         12      11795         12       9967         10       9482       9824      10468         18      10610         11         22          9      10912         23      10593         14
         RCU:     213892     181201     219409     181421     214804     181240     216024     184803     214330     183153     220020     183270     207068     192035     207967     194291     211253     185493     213226     189592     210137     182267     210249     196776     209816     191981     224226     194498     210189     184546     205199     190060
