                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     133784     150435     142723     141434     127027     144170     126002     141274     124899     140939     128685     144056     153815     109826     152614     110256     150763     109095     163724     115286     156327     138527     155103     122349     159414     110809     135798     116465     155580     110218     151580     112809
      NET_TX:        833       5970        934       4817        927       4816       1029       6506        886       6485       1048       4274       5524        802       5076        908       5751        739       5129        807      14231       7295      18378        721       7349        757       1176        787       4352        879       6858        887
      NET_RX:   23340160   39932401   23036386   46756222   23064879   46183649   23199870   47400076   23065239   41362801   23057202   45871035   46676721   21639549   47183599   21566083   41979658   21882444   47698436   21726103   41330452   44601439   48545203   21532563   48434692   21613873   24999997   22943401   46959011   21771806   45527991   21583673
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     106192     126542       5226     105709      37510     129309      29045     118303      22530     140709       5469      99430      91171       5313     104805       4694      92279       4414      97312       4606      92730      88892      88655       3964      98764       4086       4785       4311      88147       4170      98782       4241
       SCHED:     365280     231448     243069     192764     229412     187351     225247     191171     222613     183404     223596     183903     218809     188659     224196     189717     222768     180309     235662     185974     222068     184908     223338     195448     222889     186711     226887     183321     226910     179714     216959     186447
     HRTIMER:          4      10785          4       8781          7       9499          6       8790          4       9504          6      10125       8987          4       8553          3       9922          6       8668          4       8776       8433      10002         10       9470          6         19          7       9453         20       9027         11
         RCU:     186812     154249     192209     154661     188725     154588     188672     158077     188358     156178     192302     156356     179378     167350     180251     168595     183430     161071     185278     164149     182656     155477     182016     171022     181845     166731     194723     168365     182599     158995     177561     165269
