                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     128605     148070     134431     139038     121861     140707     120448     138410     119117     138148     123026     141779     149273     107391     148328     108120     145752     106677     155813     112202     152125     136288     151390     113383     155509     108540     129759     112963     150279     107989     147575     109386
      NET_TX:        830       5968        932       4817        926       4814       1027       6505        884       6483       1046       4274       5522        799       5075        907       5751        737       5127        806      14230       7293      18378        721       7312        755       1174        787       4351        879       6850        885
      NET_RX:   22730391   38034003   22409447   45096444   22447063   43589898   22556424   45319615   22408483   39581772   22395500   43890565   44018248   21116324   45265546   21091177   40172370   21361191   45508369   21173750   39073644   43059452   46912513   21045564   46469261   21146827   24357266   22457516   45210121   21251788   43215732   21077334
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     103540     125298       5000     105129      32441     125080      26170     115830      19805     138527       5085      99361      90981       4662     104510       4662      92247       4409      97212       4587      92644      88839      88578       3954      98702       4080       4769       4303      88084       4162      98726       4230
       SCHED:     312508     209223     216108     179273     203348     174609     199895     176110     198507     168275     197364     171723     195940     173278     201188     172645     196367     166596     209747     171648     197946     172024     200104     172364     198420     170558     200774     164023     201568     165457     193365     169888
     HRTIMER:          4      10785          4       8781          7       9499          6       8790          4       9503          6      10123       8987          4       8552          3       9921          6       8668          4       8776       8433      10002         10       9468          6         19          7       9453         20       9026         11
         RCU:     167724     144944     172001     144923     168752     145540     168774     146675     169468     145014     172517     147984     162189     155582     163363     155030     163634     150529     166281     152878     164589     146111     163911     153838     163115     153525     175241     153552     164142     148541     160004     153011
