                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     124478     137752     127956     129376     118102     130971     117069     128922     115892     128669     119832     131965     138954     104644     137896     105281     136296     103749     143503     109428     142471     126404     140957     107585     144908     105853     125262     110202     140223     105282     137848     106591
      NET_TX:        826       5966        930       4815        921       4812       1023       6504        878       6482       1039       4273       5521        789       5072        903       5749        733       5126        802      14228       7293      18377        719       7290        750       1163        780       4350        871       6850        879
      NET_RX:   18972886   30587080   18813044   33384425   18837372   31707255   18915800   33127831   18647298   32286134   18768979   32259202   34430790   17631048   33073762   17678601   33151525   17843062   33659093   17750650   31401138   31486201   34613416   17667445   34199719   17727621   20556978   19035526   33230902   17796973   34730643   17577875
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     102015     124814       4834     104767      30605     124325      25514     114863      19124     137836       5003      99328      90919       4637     104468       4638      92217       4380      97178       4540      92614      88804      88537       3922      98641       4072       4703       4277      88071       4147      98703       4219
       SCHED:     239955     156316     160878     125552     151170     121066     148995     122712     148838     119969     147431     119524     143989     126744     146532     125291     146466     120249     154415     124914     145961     117919     145054     124725     143817     123638     148429     116049     147974     118033     142944     123084
     HRTIMER:          2       9719          3       7955          6       9145          4       8057          1       8173          4       9093       8215          2       8075          0       8196          6       7915          4       7897       7587       9379          9       8656          6         18          6       8297         19       8168         10
         RCU:     139958     117433     143602     116638     139841     117082     140366     118162     141105     117315     144311     119495     133428     128627     134349     127752     135324     123512     137277     126139     135945     117238     134916     126263     134026     126075     145198     125019     135249     121355     131598     125272
