                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     112057      71344      80482      60545     328902      45364      72350      36437      52209      30805      51034      36325      45468      32064      40003      32704      44070      32503      37766      32745      33085      31477      45097      47968      61147      66938      90112      38461      81477      48475      74838      32021
      NET_TX:         25          6         14         12         11         10         14         11          9         18         11         18         14         11         14         15         15         14         60         19         13         15         17         18         20         11         17       2418         13         16          8         13
      NET_RX:    7202509    2548817    6972020    6696660    6983109    6577520    6773777    6711568    6771715    6535671    6631830    6544107    6668865    6585757    6557453    6570330    6538404    6696923    6817739    6534196    6422989    6280170    6936129    6903327    6707538    6844430    6464627    6314876    6530182    6216806    6910278    6884032
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    3131228      13592    2911977    2841012    2939594    2806861    2803329    2897813    2740625    2832917    2699480    2784413    2703869    2817851    2631297    2797445    2643630    2870537    2841354    2737169    2658409    2710391    2824982    2949359    2703517    2954243    2617267    2715305    2714866    2591824    2778700    2976301
       SCHED:     155594     118916     112383      92155     361205      74894      95483      67025      83303      60183      82067      64718      75685      59086      71343      58248      75913      58533      68946      59424      64341      58772      74941      76767      93127      94055     122849      65158     112436      77183     106340      59264
     HRTIMER:       5395          0       4839       5401       5186       4115       5180       3815       4408       3427       4532       4612       4551       3628       3695       4723       4039       4047       3804       5020       3493       4031       4724       5881       3932       3427       4505       4316       3599       5035       4752       3536
         RCU:      32254      31129      33424      29035      37670      30725      37000      29653      32455      30462      31359      30476      32223      27888      32161      27621      34256      27068      31907      27283      32665      28920      30733      30017      31292      28411      31459      26574      31809      29878      34550      28854
