                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:      60778      42716      40303      29102     293954      18366      40863      11755      23863      10792      23816      13869      17483       9757      14992       9643      19781       9724      12809       9747      11416      10854      17799      23570      38313      44805      66670      18819      56457      24846      47980      10861
      NET_TX:         15          4         12         10          9          6          9          8          6          7          7         12          6          7         12          7         14          7         37         14          5         12          9         14         19          7          9       2415         10         11          7          9
      NET_RX:       1474        149       1734        557        759        719        484       4334       1044        452        250        899        498       1134       2247        301       1381       1374       1131       1743        625        702       1138        861       2359        895        496       1647        835       1194        840       1709
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:      96559      10339       1096       9160      33793      23495      60360      12649      16473       6670        205        641        206        890       2127        258       1255        895        750       1111        266        477        785        601       1296        460        186        406        586        366        500       1022
       SCHED:      73791      41263      45573      32776     301014      21638      38816      17539      29039      14746      28970      17768      22320      13097      20469      11806      25130      11957      17665      12605      15014      13761      21909      28740      43270      48460      72125      20801      60776      29874      53430      14047
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          1          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1
         RCU:       6834       6955       8377       5354      12055       6545      12115       6663       7864       7976       7312       7794       8141       5615       8517       5290       9837       3947       8068       4536       8493       6817       6663       7276       7648       5996       7724       4396       8126       7125       9588       5897
