                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     245310     227804     270531     225925     235266     229573     232309     220027     238465     224264     235059     226196     234212     224285     233560     228057     236519     224132     238910     225256     228571     224036     230217     223885     230774     221981     232545     223772     230346     221178     244685     222379
      NET_TX:        904        355       1111       1186       1351        768        930       1037       1069       1019       1060       1217        940        970       1226       1239       1197       1136       1399       1108       1166       1036       1068       1213       1014        996       1205       1042       1174        951       1107       1238
      NET_RX:   65880603   42929786   64920363   60522067   66017126   61998153   61593934   61749143   65453155   61316188   63632374   62248100   62995036   63777847   65106757   64072501   64896182   62068445   64405187   61588795   64359063   62825917   63123107   63644156   64451076   65294068   63139378   62097674   65771269   64597948   65651671   60613391
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   21643897      37306   20379848   18516119   20543560   19454687   18546330   20009474   20545466   19910852   19215248   19970039   19044722   20626418   20083020   20561233   20118058   19652896   19876745   19057345   20851815   19903287   19121990   20155799   19528384   21468692   18984349   20460502   21337391   20431328   20237792   19811751
       SCHED:     371578     255565     239977     180318     222466     180013     214289     168450     215937     167125     211286     172755     209090     166967     206668     180405     211148     166625     214664     171856     207746     167736     207437     166681     206629     169535     207040     174510     210450     178535     221610     162733
     HRTIMER:      52635        214      10509       5709      58398      22566      11314       9861      42968       5205      13090      41373      25915      23966      56345      94161      46182      11505      17370      18009      17617      25488       9372      15871      18486      48964      10336      24484      38641      70122      26887       9243
         RCU:     247930     243191     257355     224039     252536     228210     252942     218612     254126     219617     247235     222252     249050     217668     244157     221958     245642     218412     252975     224194     245357     222169     242908     219277     247876     223291     245920     219740     245226     224334     252809     219308
