                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     238352     225549     260923     223340     229442     226283     227507     216429     229702     221521     230241     222583     229701     220621     228840     223313     231495     221193     234319     222067     224200     220099     225821     221065     226260     217807     227777     220013     225260     217014     239460     219605
      NET_TX:        886        353       1109       1185       1330        768        927       1035       1069       1019       1058       1217        936        968       1221       1224       1193       1134       1397       1107       1162       1035       1067       1211       1012        996       1196       1038       1170        947       1106       1238
      NET_RX:   59185077   41878454   60793338   58289669   58894047   57867188   57871454   57834437   58015160   58913238   59598541   57135121   58739453   58839944   59187026   56530767   58808272   58628701   59713232   57103026   59858116   56910475   59602710   59768697   59300957   58677631   58821057   56854970   58729426   57561212   59265057   57022547
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   18324380      35723   18269978   17401840   17225443   17369001   16932485   17773084   17115983   18533306   17244772   17393249   17105204   18144743   17340697   17009542   17266131   17858659   17576301   16885502   18839648   16996394   17595293   18163600   17204962   18224646   16702063   17719539   17947627   17120941   17126915   17813289
       SCHED:     299531     207775     198210     151945     182840     151343     178366     142494     175121     141642     175318     144858     173505     140135     169910     143591     174138     141052     179200     144649     172553     138599     171696     141045     170476     139241     170813     146474     171744     145138     184065     137815
     HRTIMER:        263        205       6331       5316       5399       5782       4513       5275       5146       5198       5753       4146       6327       4393       3944       6234       5616       5935       5300       5479       5155       5301       4320       4768       5937       5121       6002       4771       4752       4649       4762       4490
         RCU:     224923     226126     235142     207726     229745     210639     231023     202181     231054     202684     224452     204682     227387     200594     221982     201695     223372     201747     231016     206089     223632     203727     221173     202671     225690     204713     223170     201599     222277     204795     230268     202484
