                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     129699      79784      97362      72654     343882      56633      83452      45699      61811      38816      60147      45534      54997      40274      49488      39908      53090      44061      47337      40328      43828      41040      54883      57659      70142      76434      99614      46348      90798      56687      83637      39771
      NET_TX:         27         12         15         12         15         11         16         15         13         21         11         22         14         15         18         15         18         16         90         21         14         16         20         18         24         14         18       2420         22         16         11         14
      NET_RX:   14040507    4464832   13848141   14093540   14266002   13800263   13952778   13621466   13090887   12183432   12781458   12806527   12764901   13010080   12295191   11892300   12511471   11734685   12866015   12686879   13420991   13166545   13226090   14117869   12495015   13964331   13093348   12239337   12686825   12364870   12866401   13442775
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    6190124      15605    5982561    6148608    6155168    6082806    5919382    6051195    5476487    5480479    5400397    5670693    5336293    5758466    5108680    5288181    5265564    5229952    5550981    5512028    5697747    5865358    5559744    6241129    5217663    6200454    5501667    5473654    5469405    5370019    5362869    6023290
       SCHED:     238894     179970     167366     140987     412708     120447     143852     108570     129522      98996     127501     105977     121942      98896     116877      96619     121372     100582     115138      98355     112520     101193     120677     118843     138854     135016     170351     104306     158188     117555     152623      99023
     HRTIMER:       6177          0       5304       5908       6025       5273       5945       4054       4802       3888       4946       5397       4767       4107       4117       5252       4387       4476       4264       5661       4125       4372       5401       6333       4215       4196       4841       4954       3933       5677       5153       3929
         RCU:      58961      53774      59900      53357      63751      54957      62519      52118      57972      52871      55732      53390      57802      49940      57634      49488      59277      51386      58000      49374      59189      53036      56059      53260      57947      51425      57555      48871      57151      53147      60821      51481
