                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     117755      74664      85398      64169     333344      48685      75033      38973      54877      33062      53499      39227      48304      34580      43136      35159      46920      36852      40889      34934      36255      34338      48366      50753      63924      69694      93117      40699      84275      51089      77381      34251
      NET_TX:         26          6         14         12         14         10         14         12          9         19         11         18         14         11         14         15         15         14         68         19         13         15         19         18         21         11         17       2419         13         16          8         13
      NET_RX:    7730895    2661015    7526980    7198037    7490843    7070160    7174921    7132881    7198345    6948073    6998061    7033439    7051982    7056150    6973619    7040421    6934281    7237826    7304962    6970276    6910693    6769250    7422380    7430633    7179134    7314151    6958011    6730780    6986783    6612052    7338241    7364717
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    3380245      14054    3169315    3075274    3178054    3039425    2987142    3103131    2935640    3035430    2866537    3018681    2878189    3043495    2818852    3021073    2823464    3126271    3068121    2941904    2880470    2944862    3046454    3200976    2917429    3182340    2841109    2916575    2926332    2777960    2971089    3210492
       SCHED:     166279     127697     120192      99348     368936      81281     102136      72229      89665      65379      87872      70378      82720      64059      77953      63225      82450      65640      76149      63800      71250      64932      81534      82329     100312      99226     130097      69823     118981      82561     113332      64002
     HRTIMER:       5878          0       4977       5651       5511       4549       5390       4029       4536       3723       4643       5013       4682       3813       3948       5140       4262       4309       4086       5381       3610       4306       5152       6294       4213       3521       4712       4643       3759       5332       5064       3755
         RCU:      35956      34614      37416      32860      41809      34327      40859      32509      36169      33484      34690      33575      36648      30560      35980      30290      37992      31214      36370      29535      36687      32802      34811      33205      35797      31290      35796      29293      35652      33146      39145      31461
