                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     153495      92433     118230      87184     361806      69935      98869      56882      72149      50715      74648      57952      67687      52268      63012      50634      66447      59173      61025      51570      57256      52031      67405      68000      83085      88043     112249      56595     105658      68922      98009      52552
      NET_TX:         28         13         18         14         20         23         19         17         15         23         12         24         17         19         21         18         21         19        121         22         19         17         23         22         24         17         20       2423         25         21         11         15
      NET_RX:   23788265    8760360   23813539   23128265   24221051   22805876   23031701   23823149   22215946   21817913   21858691   21968712   23419106   21373345   21899986   21430678   21731453   21300494   22029012   22511617   22613769   22265854   23774805   24323941   22917213   22996789   22122494   22194668   20930871   20387680   21391687   21702493
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    9813798      17968    9778790    9531131    9816878    9525438    9136114   10107328    8768809    9206366    8629637    9207566    9411305    8817413    8618216    8912328    8583938    8901484    8895849    9310139    9125614    9335771    9512485   10242277    9127451    9595030    8756010    9377711    8401265    8254084    8314388    9062371
       SCHED:     325687     248860     228318     194014     469442     171033     198641     154278     179049     145392     180336     153285     173130     145950     169204     142025     173650     149186     167402     144303     164774     147140     172620     163399     190321     182551     222543     148933     212876     164972     206460     147109
     HRTIMER:       7011          1       6250       7437       7056       6142       7208       4843       5109       4412       6043       6560       5401       5187       4635       5871       4996       5135       5104       6744       5129       5284       5834       7260       5266       4946       5908       5394       5418       6513       6362       5171
         RCU:      87010      79168      87224      78551      91436      79806      90018      76337      84859      77631      82814      78201      84727      74716      84570      73661      86307      77957      85305      73968      85753      77577      83774      77214      85102      77351      85067      72841      85016      77536      89116      76682
