                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     130632      80894      98549      73171     345314      57308      84639      46346      62536      39703      60853      46115      55999      40997      50485      40397      53879      45758      48284      41039      44398      41556      55992      58217      71104      76984     100298      46865      91629      57191      84369      40344
      NET_TX:         27         12         15         12         18         11         16         15         13         21         11         22         15         15         18         15         18         16         97         21         15         16         20         18         24         14         18       2420         23         17         11         14
      NET_RX:   14798787    4680504   14598948   14728974   15022512   14445004   14675908   14242090   13824488   12891740   13423569   13466095   13428360   13564508   13009741   12527445   13193581   12349266   13551756   13306648   14078977   13846695   13912027   14767800   13097555   14644517   13714005   12895231   13341241   12967675   13583467   14067449
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    6497934      16241    6293566    6415506    6469042    6347433    6209256    6322446    5770378    5782709    5653222    5954381    5595244    5994446    5393835    5563957    5538825    5492691    5828282    5773195    5962096    6156224    5828582    6518039    5453526    6497398    5750464    5761157    5734379    5628031    5653512    6292344
       SCHED:     248118     186615     173048     144929     418780     124573     149606     112111     134483     103607     132456     110061     127259     102733     122328     100469     126814     105258     120345     102117     117502     105254     126596     122577     144201     139895     176149     107842     164363     120774     158583     103033
     HRTIMER:       6177          0       5304       6061       6025       5273       5945       4054       4944       3888       4946       5397       4767       4107       4117       5252       4387       4476       4264       5661       4125       4374       5401       6333       4215       4196       4841       4954       4077       5677       5153       3929
         RCU:      62615      57104      63656      55888      67978      57584      66572      54626      61289      55957      59313      56235      61470      52583      61393      52113      62940      54805      61518      51824      62417      55842      60459      55705      62070      55264      62005      51141      61852      55332      65478      54521
