                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     173255     170829     182751     158778     164252     159065     161368     154025     160562     159239     165768     159308     163957     158752     163341     159629     166226     156944     168508     157674     158750     156712     160219     156811     161218     154852     162409     158733     159993     155073     169151     156988
      NET_TX:        217        110        339        356        427        242        232        305        339        389        292        492        250        369        398        385        272        349        370        406        293        285        284        437        294        247        392        280        423        331        389        314
      NET_RX:   35090360   26124129   35884024   34129356   34771306   34213807   35242056   34150763   34235292   33872289   34897603   33757641   34743135   34070119   34746534   33284589   34228960   34233230   35004095   33715112   34920143   33568832   35244938   34895323   34410722   34283957   34522831   32375536   34734790   33355862   34300636   33327515
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   10635731      26985   10643366   10221526   10025428   10492065   10287338   10583926    9951216   10535223    9860493   10424646   10013242   10355366   10047715    9833747   10055486   10219936   10064325   10007287   10561464    9916230   10401761   10225534    9682542   10567748    9493575   10198567   10521823    9924607    9626586   10283364
       SCHED:     139030      89040      99039      70970      85896      66232      87556      65678      82650      64677      84122      63843      82566      61216      79947      68240      86426      65157      87193      64712      83338      61786      80250      65491      81558      63811      80362      65241      81064      64113      86583      64685
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     138945     142496     147693     133718     145392     133286     148318     129799     146023     130416     142995     129934     143124     127223     140153     129212     142781     127402     147189     130246     141711     129663     139285     130174     144090     131427     142109     125824     140669     130827     143991     130028
