                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     170110     169362     176218     156765     161235     157119     158022     151972     157637     157351     162734     157653     161112     157163     160440     158453     163215     154778     165105     156060     155962     155242     157298     154868     158616     153229     160023     157219     157367     153702     163740     155627
      NET_TX:        217        109        339        356        405        242        232        305        338        389        292        492        250        369        398        385        271        348        369        406        293        285        284        437        293        247        392        279        423        331        388        311
      NET_RX:   33021939   25688935   33744503   32329491   33476995   32751515   33619629   32447112   32615852   31983775   33304085   32166044   32782523   32378770   32829500   32347929   32442503   31923971   32893420   31779473   33542522   32221953   32661004   32851489   32963616   32704516   33126743   31033697   32870494   32128819   32687952   31967105
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:    9585214      25783    9558357    9324633    9380004    9743020    9537742    9645347    9209259    9515111    9135726    9539972    9099875    9434078    9160364    9317950    9224682    8994971    9003960    9023062    9922044    9178647    9174830    9132834    9017399    9704842    8858772    9451000    9594265    9304664    8889137    9531981
       SCHED:      90750      68097      77488      57976      67875      55352      67608      54187      64081      54287      65546      53387      63774      50806      62508      57133      68875      54328      68739      54975      65681      50179      62242      53757      64163      54003      63234      55154      63531      53686      66160      54103
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     127260     134656     135072     125387     133246     125859     135144     121923     134050     123209     130266     122306     130780     119994     128812     121208     131105     119692     135099     123509     129881     121402     127096     122175     132042     124507     130783     118906     128629     123581     131192     122499
