                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     181502     108265     150006     103775     392572      85261     122384      72251     102428      66032      95737      71253      88565      65883      84026      64954      87048      75847      84812      64739      78696      64856      89090      80752     102917     103420     131953      69539     128618      81205     120170      66515
      NET_TX:        198        142        356        168        263        156        173        255        127        283        142        285        206        295        254        330        281        250        499        162        334        300        213        281        221        270        253       2708        366        190        102        186
      NET_RX:   38434577   16612224   39260285   36438422   39323340   37218591   38851632   37605969   36206562   36599179   35164841   36563322   38649561   35975896   34801242   33463576   35087922   35552882   36743042   35940908   37231156   35504007   36346746   37799349   37901344   37371162   36383237   36903480   34233826   34871150   36486015   34733455
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   15231659      24389   15511368   14378551   15278131   14958266   14790622   15423636   13307092   14934357   13043919   15038953   14722361   14385636   12826508   13241549   13015876   14432491   14335465   14265554   14767493   14493134   13573318   15323235   14275571   15159931   13732111   15271581   13214883   13848036   13595398   14048038
       SCHED:     510132     358184     334061     274562     575875     248713     297473     232841     281705     218664     274917     227780     266839     217444     263652     215890     268092     224718     265145     216442     257884     218302     266610     234042     285347     258350     314396     221644     308304     232779     301377     221719
     HRTIMER:       8558          4       7714       8571       8300       6933       8344       6232       6312       5617       7419       7930       5590       6305       6924       7486       6262       6247       6595       8111       6369       6554       7284       8724       6343       5921       6941       6123       7085       7022       7305       6932
         RCU:     148157     128912     149475     125808     157424     127507     153206     127354     150582     123358     143537     125633     144421     120186     143848     119535     146712     125937     148792     119920     145950     122774     144164     123452     147537     125630     144144     119488     146210     120038     149815     123696
