                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     179422     106796     146193     102308     388920      83889     119890      70828      97487      64823      93761      70041      86574      64615      81743      63563      84984      74833      82412      63784      76790      63829      87577      79830     101373     101879     130299      68520     126637      80299     118198      65310
      NET_TX:        198        142        356        168        263        156        173        255        127        282        142        285        206        294        253        330        280        250        478        162        334        300        213        281        221        270        253       2708        366        189        102        185
      NET_RX:   37629472   16481081   38788744   36200736   38956327   37015442   37454510   36748421   35873397   35729319   34852258   35757083   37916763   35720848   34507193   33232972   34759597   35327643   36259290   35217971   35915050   35213092   36006818   37469051   37542540   37069365   35602825   36066334   33333795   34189757   35192403   34502302
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   14829247      23185   15278196   14301853   15149184   14853883   14069109   14923626   13196999   14413015   12942126   14613008   14414823   14251289   12778647   13130040   12942870   14304016   14078086   13862739   14112109   14302542   13495200   15125145   14178342   14940754   13357376   14766719   12717489   13482846   12991826   13913896
       SCHED:     480558     347198     320870     267836     560604     243263     284854     224310     267120     213857     263532     221457     254791     211530     250409     210182     254911     218547     252768     210734     246925     211537     255443     228212     272797     253152     303984     215787     296825     227807     289762     214851
     HRTIMER:       8558          4       7714       8571       8300       6933       8344       6232       6312       5617       7419       7930       5590       6305       6924       7486       6262       6247       6595       8111       6369       6554       7284       8724       6343       5921       6941       6123       7085       7022       7305       6932
         RCU:     138661     123609     139827     120884     146154     123439     143018     120299     139980     119383     134948     120742     135109     115505     134124     115179     137129     121268     139448     115362     137088     117170     135305     118704     138359     121671     135494     114572     137045     115927     140501     118134
