                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     236163     224581     258014     222193     227983     224794     226247     215327     226907     220282     228748     221337     228250     219377     227355     221709     229909     220251     232689     221039     222818     218806     224284     219940     224697     216822     226299     218858     224066     216008     238230     218518
      NET_TX:        885        353       1108       1184       1320        763        925       1035       1068       1019       1057       1217        935        968       1220       1224       1192       1131       1395       1106       1161       1034       1065       1211       1012        994       1196       1037       1168        946       1106       1237
      NET_RX:   57919057   41523498   59672102   57215300   58004278   57097142   56757364   56798729   57021423   57871052   58650616   56086484   57691561   57893467   58102180   55845678   57760236   57607656   58608485   55985476   58723530   55840639   58529634   58758189   58177247   57613438   57728748   55792946   57580572   56746025   58247923   55866515
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   17803491      34785   17823307   16974284   16889277   17075093   16497575   17362935   16741752   18118164   16895655   16977070   16705960   17776016   16915866   16741487   16874293   17422971   17146231   16428737   18389203   16566311   17187249   17765203   16762872   17801902   16300302   17283042   17481307   16811037   16746920   17321559
       SCHED:     284902     198157     188588     145134     174165     142522     169505     135673     165633     135266     166569     138058     164950     133231     160924     136334     166147     134127     170411     138544     164342     131675     162527     133966     162022     132313     162815     139369     163666     138390     176057     131806
     HRTIMER:        222        205       6301       5266       5312       5683       4486       5267       5085       5191       5694       4100       6266       4377       3875       6083       5528       5897       5262       5453       5119       5271       4259       4743       5921       5042       5975       4745       4739       4540       4761       4474
         RCU:     219812     221691     229211     203787     224476     205959     225251     198110     225454     199129     219262     200766     221693     196562     216062     197492     218618     197238     225487     202469     218524     199625     215373     198445     220483     200300     217958     196994     217012     201114     224979     198640
