                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     227093     219470     244523     213558     218815     216316     217205     207405     215869     213203     221190     212890     219524     212955     218377     214016     221601     212665     224277     213506     214315     210736     217063     211663     216214     208946     218108     212640     216504     209774     230423     210708
      NET_TX:        882        348       1106       1182       1299        763        921       1035       1065       1019       1055       1216        933        965       1219       1223       1192       1130       1391       1106       1160       1031       1061       1210       1009        993       1190       1036       1162        945       1105       1236
      NET_RX:   53465985   39359888   54551735   53215865   53019203   52268946   52682067   52188780   52113127   52462457   53349165   52122297   52728207   52802922   53570062   50932588   52871944   52636432   53516642   51706094   53688074   51631330   53133021   53998112   53018755   52996131   52416970   50676164   52176967   51603971   52759200   50893601
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   15833125      32746   15822423   15443163   14969959   15129575   15004258   15530220   14910282   15797907   14869003   15427518   14855529   15697217   15208911   14724319   15039467   15375421   15152050   14789611   16414313   14910619   15038028   15874990   14760533   15977072   14249131   15125393   15365163   14645403   14541243   15276397
       SCHED:     219663     154255     153364     113294     141554     109005     136533     106608     132337     105418     133167     107936     133710     103008     128048     108719     134769     106460     137151     109555     132819     102506     128754     105124     129980     104076     129538     109566     129203     107532     142383     102946
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     192144     196354     204801     180350     199996     181667     200735     174825     200263     176103     195303     177369     197492     172852     191224     174616     194372     174475     200892     179132     194408     176365     190931     175560     196017     177408     193271     173650     191891     177428     200182     175346
