                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     178557     106196     144218     101362     386982      83038     119048      70150      95439      64059      92824      69391      85644      63892      80809      62871      83807      74325      81273      63111      76085      63033      86741      79344     100680     100930     129180      67842     125345      79340     117183      64602
      NET_TX:        198        141        356        168        255        155        168        254        127        276        141        285        205        293        247        328        280        250        471        161        334        298        208        280        221        268        253       2707        354        189         99        182
      NET_RX:   36890913   15743103   37589043   35380905   37556535   36093287   36303163   35666784   34730823   34560942   33862401   34883026   36635675   34443859   33636749   32343482   33637658   34515817   35170323   34043548   34996547   33918172   34945620   36563367   36548926   35940342   34513258   35102578   32115006   33183785   34221890   33204823
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   14615217      22476   14883831   14059272   14652419   14568483   13705592   14562982   12830173   14021802   12655552   14340809   13967368   13813612   12532905   12863724   12590513   14069516   13732553   13480798   13814166   13833374   13169132   14860886   13892689   14571435   13011771   14463763   12312156   13156173   12700217   13464968
       SCHED:     469495     339922     311897     261723     552646     236428     277464     219077     258732     208282     255926     215955     247780     206205     243025     204287     247508     212439     245206     205390     240717     205781     248481     223303     265513     246726     296890     209896     289636     221745     283070     208500
     HRTIMER:       8487          4       7711       8478       8255       6852       8280       5967       6247       5615       7414       7777       5588       6257       6870       7434       6237       6191       6456       8108       6310       6520       7256       8638       6228       5843       6938       6116       7080       6957       7245       6930
         RCU:     134038     120081     133966     117290     141049     118712     137799     116645     134259     115757     129706     117051     130406     112065     129238     111350     132192     117205     134279     112087     133208     113526     130524     115684     133415     117362     130817     110897     132242     112092     135594     114065
