                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     163539      99254     130159      91966     375301      74921     109404      61950      83466      56069      83885      61832      76942      56387      71477      54697      74867      67033      71947      55460      67355      55261      77518      71706      92264      93475     120900      60787     116463      71885     108318      56564
      NET_TX:        193        134        349        159        245        152        164        244        120        264        140        279        199        282        243        324        272        245        446        156        326        294        199        274        217        265        247       2702        349        182         98        175
      NET_RX:   27099469   10028996   26963870   26579039   27542371   25634502   26196150   26212059   24875063   24819006   25027850   24903101   26102683   24339007   24641056   24148601   24213079   24341028   25356254   24902849   25844552   24751194   26336846   27376084   25725028   25723676   24620388   24609955   23348238   23447165   24560539   24470664
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:   11232520      20877   11110638   11060320   11182043   10754759   10260609   11215099    9521708   10657800    9733267   10695819   10260237   10198800    9508051   10153040    9371899   10344872   10287184   10324487   10561666   10579204   10323926   11735352   10032146   10880036    9657715   10592192    9404325    9678915    9418902   10401433
       SCHED:     392894     278238     256158     211513     500078     188327     226766     172821     207693     162574     206564     170624     198436     161250     193292     158491     198068     167619     195572     160473     191475     160562     199112     178249     216346     202008     247713     165482     240499     177074     233663     163282
     HRTIMER:       7012          1       6256       7439       7057       6142       7209       4845       5111       4413       6043       6562       5405       5193       4637       5871       4998       5135       5104       6746       5130       5286       5837       7260       5266       4946       5909       5395       5425       6514       6375       5181
         RCU:     105661      93655     106590      90797     113438      92494     110094      90645     106930      90046     102330      91058     103312      86405     102036      85519     104356      91264     106384      85881     105952      87830     103062      89262     105236      91584     103764      85111     105203      86509     108294      88416
