[11:35:45] [11:35:41] throughput=1.35 Gb/s  conns_total=380  conns_active=380
[11:35:51] [11:35:47] throughput=1.36 Gb/s  conns_total=400  conns_active=400
[11:35:57] [11:35:53] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:36:02] [11:35:59] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:36:08] [11:36:05] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:36:14] [11:36:09] throughput=1.37 Gb/s  conns_total=400  conns_active=400
[11:36:19] [11:36:15] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:36:25] [11:36:21] throughput=1.37 Gb/s  conns_total=400  conns_active=400
[11:36:31] [11:36:27] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:36:37] [11:36:33] throughput=1.34 Gb/s  conns_total=400  conns_active=400
[11:36:42] [11:36:39] throughput=1.34 Gb/s  conns_total=400  conns_active=400
[11:36:48] [11:36:45] throughput=1.34 Gb/s  conns_total=400  conns_active=400
[11:36:54] [11:36:49] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:36:59] [11:36:55] throughput=1.33 Gb/s  conns_total=400  conns_active=400
[11:37:05] [11:37:01] throughput=1.36 Gb/s  conns_total=400  conns_active=400
[11:37:11] [11:37:07] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:37:17] [11:37:13] throughput=1.35 Gb/s  conns_total=400  conns_active=400
[11:37:22] [11:37:19] throughput=1.34 Gb/s  conns_total=400  conns_active=400
[11:37:28] [11:37:25] throughput=1.34 Gb/s  conns_total=400  conns_active=400
[11:37:34] [11:37:31] throughput=4.25 Gb/s  conns_total=400  conns_active=400
[11:37:40] [11:37:35] throughput=3.92 Gb/s  conns_total=400  conns_active=400
[11:37:45] [11:37:41] throughput=10.89 Gb/s  conns_total=400  conns_active=400
[11:37:51] [11:37:47] throughput=10.80 Gb/s  conns_total=400  conns_active=400
[11:37:57] [11:37:53] throughput=10.83 Gb/s  conns_total=400  conns_active=400
[11:38:03] [11:37:59] throughput=10.80 Gb/s  conns_total=400  conns_active=400
[11:38:08] [11:38:05] throughput=10.80 Gb/s  conns_total=400  conns_active=400
[11:38:14] [11:38:11] throughput=10.72 Gb/s  conns_total=400  conns_active=400
[11:38:20] [11:38:17] throughput=10.82 Gb/s  conns_total=400  conns_active=400
[11:38:26] [11:38:21] throughput=10.76 Gb/s  conns_total=400  conns_active=400
[11:38:31] [11:38:27] throughput=10.87 Gb/s  conns_total=400  conns_active=400
[11:38:37] [11:38:33] throughput=10.90 Gb/s  conns_total=400  conns_active=400
[11:38:43] [11:38:39] throughput=10.89 Gb/s  conns_total=400  conns_active=400
[11:38:49] [11:38:45] throughput=10.90 Gb/s  conns_total=400  conns_active=400
[11:38:55] [11:38:51] throughput=10.85 Gb/s  conns_total=400  conns_active=400
[11:39:00] [11:38:57] throughput=10.85 Gb/s  conns_total=400  conns_active=400
[11:39:06] [11:39:03] throughput=10.85 Gb/s  conns_total=400  conns_active=400
[11:39:12] [11:39:09] throughput=10.83 Gb/s  conns_total=400  conns_active=400
[11:39:18] [11:39:13] throughput=10.87 Gb/s  conns_total=400  conns_active=400
[11:39:24] [11:39:19] throughput=10.91 Gb/s  conns_total=400  conns_active=400
[11:39:30] [11:39:25] throughput=10.90 Gb/s  conns_total=400  conns_active=400
[11:39:35] [11:39:31] throughput=10.88 Gb/s  conns_total=400  conns_active=400
[11:39:41] [11:39:37] throughput=10.75 Gb/s  conns_total=400  conns_active=400
[11:39:47] [11:39:43] throughput=10.97 Gb/s  conns_total=400  conns_active=400
[11:39:52] [11:39:49] throughput=10.62 Gb/s  conns_total=400  conns_active=400
[11:39:58] [11:39:55] throughput=10.94 Gb/s  conns_total=400  conns_active=400
[11:40:04] [11:40:01] throughput=10.87 Gb/s  conns_total=400  conns_active=400
[11:40:10] [11:40:05] throughput=10.42 Gb/s  conns_total=400  conns_active=400
[11:40:16] [11:40:13] throughput=10.84 Gb/s  conns_total=400  conns_active=400
[11:40:22] [11:40:17] throughput=10.92 Gb/s  conns_total=400  conns_active=400
[11:40:27] [11:40:23] throughput=10.85 Gb/s  conns_total=400  conns_active=400
[11:40:33] [11:40:29] throughput=10.61 Gb/s  conns_total=740  conns_active=400
[11:40:39] [11:40:35] throughput=10.87 Gb/s  conns_total=740  conns_active=400
[11:40:44] [11:40:41] throughput=10.71 Gb/s  conns_total=780  conns_active=400
[11:40:50] [11:40:47] throughput=10.95 Gb/s  conns_total=800  conns_active=400
